flag	table	lot	slot	category	item_id	num	goods_type	name
114	map	14000960	1	1	8121	1	1	Dark Moon Ring
171	map	10010	1	1	8148	1	1	
172	map	10301	1	1	8149	1	1	
173	map	10041	1	1	8150	1	1	
174	map	10221	1	1	8151	1	1	
175	map	10121	1	1	8152	1	1	
176	map	10201	1	1	8153	1	1	
191	map	34100500	1	1	191	1	15	
192	map	34130050	1	1	192	1	15	
193	map	34140700	1	1	193	1	15	
194	map	34120500	1	1	194	1	15	
195	map	34140710	1	1	195	1	15	
196	map	34150000	1	1	196	1	15	
197	map	10180	1	1	2959	1	3	Remembrance of the Full Moon Queen
197	map	10181	1	1	10080	1	1	
6700	map	2700	1	1	251	1	9	
9500	map	4900	1	1	8182	1	1	Mending Rune of Perfect Order
9502	map	4910	1	1	8183	1	1	Mending Rune of the Death-Prince
9502	map	103350	1	1	8183	1	1	Mending Rune of the Death-Prince
9504	map	4920	1	1	8184	1	1	Mending Rune of the Fell Curse
9800	map	300	1	1	12302	1		
9810	map	310	1	1	12307	1		
60000	map	2000	1	1	1001	3	0	
60000	map	2001	1	1	1051	1	0	
60020	map	1046380300	1	1	250	1	9	Flask of Wondrous Physick
60100	map	100000	1	1	130	1	0	
60110	map	103900	1	1	8158	1	1	Spirit Calling Bell
60130	map	1042371010	1	1	8590	1	1	Whetstone Knife
60140	map	20341	1	1	8163	1	1	
60140	map	102700	1	1	8163	1	1	
60150	map	1037460001	1	1	8188	1	1	Golden Tailoring Tools
60210	map	10010000	1	1	106	1	0	
60220	map	18000080	1	1	100	1	0	
60230	map	2230	1	1	109	1	0	
60240	map	1042400000	1	1	101	1	0	
60250	map	1042400001	1	1	110	1	0	
60260	map	16000720	1	1	112	1	0	Recusant Finger
60270	map	100340	1	1	102	1	0	
60280	map	101600	1	1	104	1	0	White Cipher Ring
60300	map	11100800	1	1	108	1	0	
60310	map	18000081	1	1	103	1	0	
60400	map	1045330100	1	1	10030	1	1	Memory Stone
60410	map	1034430100	1	1	10030	1	1	Memory Stone
60420	map	1035470100	1	1	10030	1	1	Memory Stone
60430	map	1034500100	1	1	10030	1	1	Memory Stone
60440	map	10170	1	1	10030	1	1	Memory Stone
60450	map	30395	1	1	10030	1	1	Memory Stone
60460	map	1052410900	1	1	10030	1	1	Memory Stone
60500	map	101100	1	1	10040	1	1	Talisman Pouch
60510	map	10000	1	1	10040	1	1	Talisman Pouch
60520	map	10050	1	1	10040	1	1	Talisman Pouch
62010	map	1042370200	1	1	8600	1	1	
62011	map	1044320000	1	1	8601	1	1	
62012	map	1045370020	1	1	8602	1	1	
62020	map	1038410200	1	1	8603	1	1	
62021	map	1037440210	1	1	8604	1	1	
62022	map	1034480200	1	1	8605	1	1	
62030	map	1040520500	1	1	8606	1	1	
62031	map	1042510500	1	1	8607	1	1	
62032	map	1036540500	1	1	8608	1	1	
62040	map	1049370500	1	1	8609	1	1	
62041	map	1049400500	1	1	8610	1	1	
62050	map	1049530700	1	1	8611	1	1	
62051	map	1052540700	1	1	8612	1	1	
62052	map	1048560700	1	1	8618	1	1	
62060	map	12010000	1	1	8613	1	1	
62061	map	12010010	1	1	8614	1	1	
62062	map	12050000	1	1	8616	1	1	
62063	map	12020060	1	1	8615	1	1	
62064	map	12030000	1	1	8617	1	1	
62080	map	2047410900	1	1	2008600	1	1	
62081	map	2048450500	1	1	2008601	1	1	
62082	map	2048370040	1	1	2008602	1	1	
62083	map	2046450710	1	1	2008603	1	1	
62084	map	2052410600	1	1	2008604	1	1	
65000	map	30321	1	1	11000	1	10	Crimsonspill Crystal Tear
65010	map	1045370301	1	1	11001	1	10	Greenspill Crystal Tear
65020	map	1046380301	1	1	11002	1	10	Crimson Crystal Tear
65030	map	1044530200	1	1	11003	1	10	
65040	map	30205	1	1	11004	1	10	Cerulean Crystal Tear
65050	map	30525	1	1	11005	1	10	
65060	map	30320	1	1	11006	1	10	Speckled Hardtear
65070	map	30526	1	1	11007	1	10	Crimson Bubbletear
65080	map	30186	1	1	11008	1	10	Opaline Bubbletear
65090	map	30185	1	1	11009	1	10	Crimsonburst Crystal Tear
65100	map	30410	1	1	11010	1	10	Greenburst Crystal Tear
65110	map	30415	1	1	11011	1	10	Opaline Hardtear
65120	map	1044530210	1	1	11012	1	10	Winged Crystal Tear
65130	map	30555	1	1	11013	1	10	Thorny Cracked Tear
65140	map	1045370300	1	1	11014	1	10	Spiked Cracked Tear
65150	map	1049370000	1	1	11015	1	10	Windy Crystal Tear
65160	map	30206	1	1	11016	1	10	Ruptured Crystal Tear
65170	map	30556	1	1	11017	1	10	
65180	map	30380	1	1	11018	1	10	Leaden Hardtear
65190	map	1044530201	1	1	11019	1	10	Twiggy Cracked Tear
65200	map	1052540790	1	1	11020	1	10	Crimsonwhorl Bubbletear
65210	map	1042390000	1	1	11021	1	10	Strength-knot Crystal Tear
65220	map	1036420000	1	1	11022	1	10	Dexterity-knot Crystal Tear
65230	map	1035490000	1	1	11023	1	10	Intelligence-knot Crystal Tear
65240	map	1043340020	1	1	11024	1	10	Faith-knot Crystal Tear
65250	map	30381	1	1	11025	1	10	Cerulean Hidden Tear
65260	map	30416	1	1	11026	1	10	Stonebarb Cracked Tear
65270	map	101620	1	1	11027	1	10	Purifying Crystal Tear
65280	map	30411	1	1	11028	1	10	Flame-Shrouding Cracked Tear
65290	map	30200	1	1	11029	1	10	Magic-Shrouding Cracked Tear
65300	map	30201	1	1	11030	1	10	Lightning-Shrouding Cracked Tear
65310	map	30202	1	1	11031	1	10	Holy-Shrouding Cracked Tear
65400	map	2048400021	1	1	2011000	1	10	Viridian Hidden Tear
65410	map	2048460700	1	1	2011010	1	10	Crimsonburst Dried Tear
65420	map	2045460501	1	1	2011020	1	10	Crimson-Sapping Cracked Tear
65430	map	2051450701	1	1	2011030	1	10	Cerulean-Sapping Cracked Tear
65440	map	2050460511	1	1	2011040	1	10	Oil-Soaked Tear
65450	map	2050460501	1	1	2011050	1	10	Bloodsucking Cracked Tear
65460	map	2046390061	1	1	2011060	1	10	Glovewort Crystal Tear
65470	map	2046420981	1	1	2011070	1	10	Deflecting Hardtear
65610	map	10000420	1	1	8970	1	1	Iron Whetblade
65640	map	1051360070	1	1	8971	1	1	Red-Hot Whetblade
65660	map	11001010	1	1	8972	1	1	Sanctified Whetblade
65680	map	14000500	1	1	8973	1	1	Glintstone Whetblade
65720	map	12020010	1	1	8974	1	1	Black Whetblade
66000	map	31030020	1	1	9500	1	11	Cracked Pot
66010	map	10000770	1	1	9500	1	11	Cracked Pot
66020	map	10000775	1	1	9500	1	11	Cracked Pot
66080	map	1039440100	1	1	9500	1	11	Cracked Pot
66090	map	1039440110	1	1	9500	1	11	Cracked Pot
66100	map	1039440120	1	1	9500	1	11	Cracked Pot
66110	map	1035500400	1	1	9500	1	11	Cracked Pot
66120	map	14000780	1	1	9500	1	11	Cracked Pot
66130	map	11000560	1	1	9500	1	11	Cracked Pot
66140	map	30130100	1	1	9500	1	11	Cracked Pot
66150	map	30130110	1	1	9500	1	11	Cracked Pot
66160	map	30130120	1	1	9500	1	11	Cracked Pot
66170	map	30130130	1	1	9500	1	11	Cracked Pot
66190	map	1047400010	1	1	9500	1	11	Cracked Pot
66400	map	30180040	1	1	9501	1	11	Ritual Pot
66410	map	14000900	1	1	9501	1	11	Ritual Pot
66420	map	1037420100	1	1	9501	1	11	Ritual Pot
66430	map	1039440130	1	1	9501	1	11	Ritual Pot
66440	map	1039440140	1	1	9501	1	11	Ritual Pot
66470	map	30130140	1	1	9501	1	11	Ritual Pot
66480	map	30130150	1	1	9501	1	11	Ritual Pot
66490	map	35000610	1	1	9501	1	11	Ritual Pot
66700	map	16000110	1	1	9510	1	11	Perfume Bottle
66710	map	11000130	1	1	9510	1	11	Perfume Bottle
66720	map	11000470	1	1	9510	1	11	Perfume Bottle
66730	map	1036510020	1	1	9510	1	11	Perfume Bottle
66740	map	1036520070	1	1	9510	1	11	Perfume Bottle
66760	map	1039510000	1	1	9510	1	11	Perfume Bottle
66770	map	1039540040	1	1	9510	1	11	Perfume Bottle
66780	map	31180000	1	1	9510	1	11	Perfume Bottle
66790	map	1048380010	1	1	9510	1	11	Perfume Bottle
66900	map	41000140	1	1	2009500	1	11	Hefty Cracked Pot
66910	map	41000220	1	1	2009500	1	11	Hefty Cracked Pot
66920	map	41000230	1	1	2009500	1	11	Hefty Cracked Pot
66930	map	41010000	1	1	2009500	1	11	Hefty Cracked Pot
66940	map	41020310	1	1	2009500	1	11	Hefty Cracked Pot
66950	map	2047410030	1	1	2009500	1	11	Hefty Cracked Pot
66960	map	2050440130	1	1	2009500	1	11	Hefty Cracked Pot
66970	map	2050440110	1	1	2009500	1	11	Hefty Cracked Pot
66980	map	21020060	1	1	2009500	1	11	Hefty Cracked Pot
66990	map	2047370010	1	1	2009500	1	11	Hefty Cracked Pot
67020	map	1046360020	1	1	9302	1	1	
67030	map	10000480	1	1	9303	1	1	
67050	map	1040390000	1	1	9305	1	1	
67060	map	1035440200	1	1	9306	1	1	
67070	map	1041530050	1	1	9307	1	1	
67090	map	1049540800	1	1	9309	1	1	
67120	map	16000090	1	1	9312	1	1	
67130	map	16000450	1	1	9313	1	1	
67200	map	1043380000	1	1	9320	1	1	
67220	map	1037420040	1	1	9322	1	1	
67250	map	1035540030	1	1	9325	1	1	
67260	map	1051360010	1	1	9326	1	1	
67300	map	12020130	1	1	9330	1	1	
67310	map	1051360120	1	1	9331	1	1	
67400	map	1036440100	1	1	9340	1	1	
67410	map	1038400010	1	1	9341	1	1	
67420	map	14000950	1	1	9342	1	1	
67430	map	30000030	1	1	9343	1	1	
67440	map	1049560360	1	1	9344	1	1	
67450	map	1038410000	1	1	9345	1	1	
67460	map	1035500040	1	1	9346	1	1	
67480	map	1038420100	1	1	9348	1	1	
67630	map	12020020	1	1	9363	1	1	
67640	map	1043500030	1	1	9364	1	1	
67650	map	1046400030	1	1	9365	1	1	
67800	map	1045370030	1	1	9380	1	1	
67840	map	1036510010	1	1	9384	1	1	
67850	map	1039540190	1	1	9385	1	1	
67860	map	30130010	1	1	9386	1	1	
67870	map	1046400050	1	1	9387	1	1	
67880	map	31020040	1	1	9388	1	1	
67890	map	12010020	1	1	9389	1	1	
67910	map	12050050	1	1	9391	1	1	
68000	map	30070000	1	1	9400	1	1	
68020	map	13000650	1	1	9402	1	1	
68030	map	1048360000	1	1	9403	1	1	
68200	map	1045380010	1	1	9420	1	1	
68210	map	102840	1	1	9421	1	1	
68400	map	1038480000	1	1	9440	1	1	
68410	map	35000800	1	1	9441	1	1	
68510	map	107520	1	1	2009301	1	1	
68520	map	107500	1	1	2009302	1	1	
68530	map	107530	1	1	2009303	1	1	
68540	map	107540	1	1	2009304	1	1	
68550	map	107550	1	1	2009305	1	1	
68560	map	107510	1	1	2009306	1	1	
68570	map	2054400000	1	1	2009307	1	1	
68580	map	2051460010	1	1	2009308	1	1	
68590	map	2047410050	1	1	2009309	1	1	
68600	map	2051450010	1	1	2009310	1	1	
68610	map	2046400010	1	1	2009311	1	1	
68620	map	2047420020	1	1	2009312	1	1	
68630	map	2049430400	1	1	2009313	1	1	
68640	map	2044460100	1	1	2009314	1	1	
68650	map	2046440040	1	1	2009315	1	1	
68660	map	41000240	1	1	2009316	1	1	
68670	map	2050410000	1	1	2009317	1	1	
68680	map	2045480700	1	1	2009318	1	1	
68690	map	2047450030	1	1	2009319	1	1	
68700	map	42000120	1	1	2009320	1	1	
68710	map	2047390030	1	1	2009321	1	1	
68720	map	2051410010	1	1	2009322	1	1	
68730	map	2046430030	1	1	2009323	1	1	
68740	map	40000010	1	1	2009324	1	1	
68750	map	2048420010	1	1	2009325	1	1	
68760	map	2048370060	1	1	2009326	1	1	
68770	map	2049440000	1	1	2009327	1	1	
68780	map	40010900	1	1	2009328	1	1	
68790	map	2047440810	1	1	2009329	1	1	
68800	map	21000660	1	1	2009330	1	1	
68810	map	2049390010	1	1	2009331	1	1	
68820	map	2049430510	1	1	2009332	1	1	
68830	map	106400	1	1	2009333	1	1	
68840	map	22000010	1	1	2009334	1	1	
68850	map	2049380040	1	1	2009335	1	1	
68860	map	2046480011	1	1	2009336	1	1	
