ap_id,flag,flag_source,item_name,map,region,method
7000000,114,map_lot,Dark Moon Ring,m14_00_00_00,Raya Lucaria Academy,treasure
7000001,171,map_lot,Godrick's Great Rune,m10_01_00_00,Stormveil Castle,emevd
7000002,172,map_lot,Radahn's Great Rune,PENDING,Caelid (Redmane Castle),boss_arena
7000003,173,map_lot,Morgott's Great Rune,m13_00_00_00,Crumbling Farum Azula,emevd
7000004,174,map_lot,Rykard's Great Rune,PENDING,Volcano Manor,boss_arena
7000005,175,map_lot,Mohg's Great Rune,PENDING,Mohgwyn Palace,boss_arena
7000006,176,map_lot,Malenia's Great Rune,PENDING,Miquella's Haligtree & Elphael,boss_arena
7000007,177,synthetic,FA/TFB: Golden Rune [12] - to SW up right stairs outside,PENDING,Crumbling Farum Azula,synthetic_areacode
7000008,191,map_lot,Godrick's Great Rune,m34_10_00_00,DLC Dungeon,emevd
7000009,192,map_lot,Radahn's Great Rune,m34_13_00_00,DLC Dungeon,emevd
7000010,193,map_lot,Morgott's Great Rune,m34_14_00_00,DLC Dungeon,emevd
7000011,194,map_lot,Rykard's Great Rune,m34_12_00_00,DLC Dungeon,emevd
7000012,195,map_lot,Mohg's Great Rune,m34_14_00_00,DLC Dungeon,emevd
7000013,196,map_lot,Malenia's Great Rune,m34_15_00_00,DLC Dungeon,emevd
7000014,197,map_lot,Remembrance of the Full Moon Queen,m10_00_00_00,Stormveil Castle,emevd
7000015,6700,map_lot,Flask of Wondrous Physick,PENDING,Global / Common-event (unplaced),global
7000016,9500,map_lot,Mending Rune of Perfect Order,m11_05_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000017,9502,map_lot,Mending Rune of the Death-Prince,m12_03_00_00,Eternal Cities & Underground Rivers,treasure
7000018,9504,map_lot,Mending Rune of the Fell Curse,m35_00_00_00,Divine Tower,treasure
7000019,9800,map_lot,,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000020,9810,map_lot,,m15_00_00_00,Miquella's Haligtree & Elphael,emevd
7000021,60000,map_lot,Flask of Crimson Tears,m10_00_00_00,Stormveil Castle,emevd
7000022,60020,map_lot,Flask of Wondrous Physick,m60_46_38_00,Overworld m60_46_38_00,treasure
7000023,60100,map_lot,Spectral Steed Whistle,m42_01_00_00,DLC Legacy Dungeon,emevd
7000024,60110,map_lot,Spirit Calling Bell,m60_42_36_00,Overworld m60_42_36_00,emevd
7000025,60120,shop,Crafting Kit,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000026,60130,map_lot,Whetstone Knife,m60_42_37_00,Overworld m60_42_37_00,treasure
7000027,60140,map_lot,Tailoring Tools,PENDING,Global / Common-event (unplaced),global
7000028,60150,map_lot,Golden Tailoring Tools,PENDING,Global / Common-event (unplaced),global
7000029,60210,map_lot,Tarnished's Wizened Finger,m10_01_00_00,Stormveil Castle,emevd
7000030,60220,map_lot,Tarnished's Furled Finger,PENDING,Global / Common-event (unplaced),global
7000031,60230,map_lot,Small Golden Effigy,PENDING,Global / Common-event (unplaced),global
7000032,60240,map_lot,Duelist's Furled Finger,m60_42_40_00,Overworld m60_42_40_00,treasure
7000033,60250,map_lot,Small Red Effigy,PENDING,Global / Common-event (unplaced),global
7000034,60260,map_lot,Recusant Finger,m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
7000035,60270,map_lot,Bloody Finger,PENDING,Global / Common-event (unplaced),global
7000036,60280,map_lot,White Cipher Ring,PENDING,Global / Common-event (unplaced),global
7000037,60290,shop,Blue Cipher Ring,PENDING,Roundtable Hold,shop_merchant
7000038,60300,map_lot,Taunter's Tongue,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000039,60310,map_lot,Finger Severer,PENDING,Global / Common-event (unplaced),global
7000040,60400,map_lot,Memory Stone,m60_45_33_00,Overworld m60_45_33_00,treasure
7000041,60410,map_lot,Memory Stone,m60_34_43_00,Overworld m60_34_43_00,treasure
7000042,60420,map_lot,Memory Stone,m60_35_47_00,Overworld m60_35_47_00,treasure
7000043,60430,map_lot,Memory Stone,m60_34_50_00,Overworld m60_34_50_00,treasure
7000044,60440,map_lot,Memory Stone,PENDING,Global / Common-event (unplaced),global
7000045,60450,map_lot,Memory Stone,m60_37_53_00,Overworld m60_37_53_00,emevd
7000046,60460,map_lot,Memory Stone,m60_52_41_00,Overworld m60_52_41_00,treasure
7000047,60470,shop,Memory Stone,m60_35_45_00,Overworld m60_35_45_00,emevd
7000048,60500,map_lot,Talisman Pouch,m30_00_00_00,Hero's Graves (Catacombs),emevd
7000049,60510,map_lot,Talisman Pouch,m10_00_00_00,Stormveil Castle,emevd
7000050,60520,map_lot,Talisman Pouch,m34_13_00_00,DLC Dungeon,emevd
7000051,62010,map_lot,"Map: Limgrave, West",m60_42_37_00,Overworld m60_42_37_00,treasure
7000052,62011,map_lot,Map: Weeping Peninsula,m60_44_32_00,Overworld m60_44_32_00,treasure
7000053,62012,map_lot,"Map: Limgrave, East",PENDING,Limgrave,map_name
7000054,62020,map_lot,"Map: Liurnia, East",m60_38_41_00,Overworld m60_38_41_00,treasure
7000055,62021,map_lot,"Map: Liurnia, North",m60_37_44_00,Overworld m60_37_44_00,treasure
7000056,62022,map_lot,"Map: Liurnia, West",m60_34_48_00,Overworld m60_34_48_00,treasure
7000057,62030,map_lot,Map: Altus Plateau,m60_40_52_00,Overworld m60_40_52_00,emevd
7000058,62031,map_lot,"Map: Leyndell, Royal Capital",m60_42_51_00,Overworld m60_42_51_00,treasure
7000059,62032,map_lot,Map: Mt. Gelmir,m60_36_54_00,Overworld m60_36_54_00,treasure
7000060,62040,map_lot,Map: Caelid,m60_49_37_00,Overworld m60_49_37_00,treasure
7000061,62041,map_lot,Map: Dragonbarrow,m60_49_40_00,Overworld m60_49_40_00,treasure
7000062,62050,map_lot,"Map: Mountaintops of the Giants, West",m60_49_53_00,Overworld m60_49_53_00,treasure
7000063,62051,map_lot,"Map: Mountaintops of the Giants, East",m60_52_54_00,Overworld m60_52_54_00,treasure
7000064,62052,map_lot,Map: Consecrated Snowfield,m60_48_56_00,Overworld m60_48_56_00,treasure
7000065,62060,map_lot,Map: Ainsel River,m12_01_00_00,Eternal Cities & Underground Rivers,treasure
7000066,62061,map_lot,Map: Lake of Rot,m12_01_00_00,Eternal Cities & Underground Rivers,treasure
7000067,62062,map_lot,Map: Mohgwyn Palace,m12_05_00_00,Eternal Cities & Underground Rivers,treasure
7000068,62063,map_lot,Map: Siofra River,m12_02_00_00,Eternal Cities & Underground Rivers,treasure
7000069,62064,map_lot,Map: Deeproot Depths,m12_03_00_00,Eternal Cities & Underground Rivers,treasure
7000070,62080,map_lot,Map: Gravesite Plain,PENDING,Gravesite Plain,map_name
7000071,62081,map_lot,Map: Scadu Altus,m61_48_45_00,Land of Shadow (DLC),treasure
7000072,62082,map_lot,Map: Southern Shore,m61_48_37_00,Land of Shadow (DLC),treasure
7000073,62083,map_lot,Map: Rauh Ruins,m61_46_45_00,Land of Shadow (DLC),treasure
7000074,62084,map_lot,Map: Abyss,m61_52_41_00,Land of Shadow (DLC),treasure
7000075,65000,map_lot,Crimsonspill Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000076,65010,map_lot,Greenspill Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000077,65020,map_lot,Crimson Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000078,65030,map_lot,Crimson Crystal Tear,m60_44_53_00,Overworld m60_44_53_00,treasure
7000079,65040,map_lot,Cerulean Crystal Tear,m60_33_43_00,Overworld m60_33_43_00,emevd
7000080,65050,map_lot,Cerulean Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000081,65060,map_lot,Speckled Hardtear,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
7000082,65070,map_lot,Crimson Bubbletear,PENDING,Global / Common-event (unplaced),global
7000083,65080,map_lot,Opaline Bubbletear,PENDING,Global / Common-event (unplaced),global
7000084,65090,map_lot,Crimsonburst Crystal Tear,m60_43_33_00,Overworld m60_43_33_00,emevd
7000085,65100,map_lot,Greenburst Crystal Tear,m60_47_40_00,Overworld m60_47_40_00,emevd
7000086,65110,map_lot,Opaline Hardtear,PENDING,Global / Common-event (unplaced),global
7000087,65120,map_lot,Winged Crystal Tear,m60_44_53_00,Overworld m60_44_53_00,treasure
7000088,65130,map_lot,Thorny Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000089,65140,map_lot,Spiked Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000090,65150,map_lot,Windy Crystal Tear,m60_49_37_00,Overworld m60_49_37_00,treasure
7000091,65160,map_lot,Ruptured Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000092,65170,map_lot,Ruptured Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000093,65180,map_lot,Leaden Hardtear,m60_37_54_00,Overworld m60_37_54_00,emevd
7000094,65190,map_lot,Twiggy Cracked Tear,m60_44_53_00,Overworld m60_44_53_00,emevd
7000095,65200,map_lot,Crimsonwhorl Bubbletear,m60_52_54_00,Overworld m60_52_54_00,treasure
7000096,65210,map_lot,Strength-knot Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000097,65220,map_lot,Dexterity-knot Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000098,65230,map_lot,Intelligence-knot Crystal Tear,PENDING,Global / Common-event (unplaced),global
7000099,65240,map_lot,Faith-knot Crystal Tear,m60_43_34_00,Overworld m60_43_34_00,treasure
7000100,65250,map_lot,Cerulean Hidden Tear,PENDING,Global / Common-event (unplaced),global
7000101,65260,map_lot,Stonebarb Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000102,65270,map_lot,Purifying Crystal Tear,m60_39_52_00,Overworld m60_39_52_00,emevd
7000103,65280,map_lot,Flame-Shrouding Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000104,65290,map_lot,Magic-Shrouding Cracked Tear,m60_38_48_00,Overworld m60_38_48_00,emevd
7000105,65300,map_lot,Lightning-Shrouding Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000106,65310,map_lot,Holy-Shrouding Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000107,65400,map_lot,Viridian Hidden Tear,PENDING,Global / Common-event (unplaced),global
7000108,65410,map_lot,Crimsonburst Dried Tear,PENDING,Global / Common-event (unplaced),global
7000109,65420,map_lot,Crimson-Sapping Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000110,65430,map_lot,Cerulean-Sapping Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000111,65440,map_lot,Oil-Soaked Tear,PENDING,Global / Common-event (unplaced),global
7000112,65450,map_lot,Bloodsucking Cracked Tear,PENDING,Global / Common-event (unplaced),global
7000113,65460,map_lot,Glovewort Crystal Tear,PENDING,Global / Filler (scattered by design),global_filler
7000114,65470,map_lot,Deflecting Hardtear,PENDING,Global / Common-event (unplaced),global
7000115,65610,map_lot,Iron Whetblade,m10_00_00_00,Stormveil Castle,treasure
7000116,65640,map_lot,Red-Hot Whetblade,m60_51_36_00,Overworld m60_51_36_00,treasure
7000117,65660,map_lot,Sanctified Whetblade,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
7000118,65680,map_lot,Glintstone Whetblade,m14_00_00_00,Raya Lucaria Academy,treasure
7000119,65720,map_lot,Black Whetblade,m12_02_00_00,Eternal Cities & Underground Rivers,treasure
7000120,66000,map_lot,Cracked Pot,PENDING,Global / Common-event (unplaced),global
7000121,66010,map_lot,Cracked Pot,m10_00_00_00,Stormveil Castle,treasure
7000122,66020,map_lot,Cracked Pot,m10_00_00_00,Stormveil Castle,treasure
7000123,66030,shop,Cracked Pot,PENDING,Multiple merchants (various regions),shop_multi
7000124,66060,shop,Cracked Pot,PENDING,Multiple merchants (various regions),shop_multi
7000125,66070,shop,Cracked Pot,PENDING,Multiple merchants (various regions),shop_multi
7000126,66080,map_lot,Cracked Pot,m60_39_44_00,Overworld m60_39_44_00,treasure
7000127,66090,map_lot,Cracked Pot,m60_39_44_00,Overworld m60_39_44_00,treasure
7000128,66100,map_lot,Cracked Pot,m60_39_44_00,Overworld m60_39_44_00,treasure
7000129,66110,map_lot,Cracked Pot,m60_35_50_00,Overworld m60_35_50_00,emevd
