# DERIVED shop checks -- ShopLineupParam ground truth, no hand classification.
# predicate: eventFlag_forStock > 0 AND sellQuantity >= 1 (flag flips ON PURCHASE).
#   unlimited rows (qty -1) are EXCLUDED: their flag is a bell-bearing stock UNLOCK,
#   not a purchase record -- watching it fires on hand-in, not on buying.
# region: row ids are shopBlock*100+slot and a BLOCK IS ONE MERCHANT, so a row inherits
#   its block's region. Empty region = unknown/ambiguous -> gen_data treats as DEFAULTED
#   (hub-quarantined, may not carry progression).
# names: FMG (WeaponName/ProtectorName/AccessoryName/GoodsName/GemName), incl. DLC.
# value: rune price. value==0 means the row is a TRADE/RETURN, not a purchase -- Enia's
#   remembrance shop (65 remembrance RETURNS + 51 trade OUTPUTS). The returns hand back a
#   UNIQUE item you already own: minting a location for one puts a SECOND copy of that
#   remembrance in the pool and breaks the singleton invariant. So gen_data keeps value==0
#   rows in the DETECT table (the trade outputs already have locations and need their shop
#   row rewritten) but never mints a NEW location from one.
# release_flag: eventFlag_forRelease -- the flag that makes the row EXIST in the menu.
#   0 = stocked from the moment you can reach the merchant. NONZERO = the row is NOT THERE
#   until some event fires (a bell bearing handed to the Twin Maidens, a boss killed, an
#   NPC quest advanced). 252 of 679 shop checks (37%) are gated this way -- including ALL 49
#   of Enia's block 1015. Reachability in AP is 'is the REGION open?', which is necessary but
#   NOT SUFFICIENT for these: the region can be open and the row still absent. So gen_data
#   bars them from carrying PROGRESSION (SHOP_RELEASE_GATED_APS). Same predicate as
#   DEFAULTED_REGION_APS: a check we cannot ASSERT is reachable may not be REQUIRED.
row_id	shop_block	equip_type	equip_id	item_name	stock_flag	sell_qty	value	region	region_source	release_flag
100000	1000	3	111	Festering Bloody Finger	100000	2	1000	Limgrave (Church of Elleh)	block	0
100002	1000	3	1760	Ruin Fragment	100020	5	100	Limgrave (Church of Elleh)	block	0
100004	1000	0	30000000	Buckler	100040	1	1500	Limgrave (Church of Elleh)	block	0
100009	1000	3	150	Furlcalling Finger Remedy	100090	4	1000	Limgrave (Church of Elleh)	block	0
100010	1000	3	1190	Silver-Pickled Fowl Foot	100100	3	2000	Limgrave (Church of Elleh)	row	0
100011	1000	3	15430	Stormhawk Feather	100110	5	500	Limgrave (Church of Elleh)	row	0
100012	1000	0	21000000	Caestus	100120	1	800	Limgrave (Church of Elleh)	row	0
100013	1000	0	51000000	Great Arrow	100130	5	300	Limgrave (Church of Elleh)	block	0
100014	1000	0	53000000	Ballista Bolt	100140	5	300	Limgrave (Church of Elleh)	block	0
100015	1000	1	930200	Bandit Manchettes	100150	1	1000	Limgrave (Church of Elleh)	row	0
100016	1000	1	930300	Bandit Boots	100160	1	1000	Limgrave (Church of Elleh)	row	0
100017	1000	1	931100	Bandit Garb	100170	1	1500	Limgrave (Church of Elleh)	row	0
100018	1000	3	10140	Ancient Dragon Smithing Stone	100180	1	20000	Limgrave (Church of Elleh)	row	10009516
100025	1000	3	10030	Memory Stone	100250	1	3000	Limgrave (Church of Elleh)	block	0
100026	1000	3	8000	Stonesword Key	100260	1	4000	Limgrave (Church of Elleh)	block	0
100050	1000	3	4000	Glintstone Pebble	100500	1	1000	Limgrave (Church of Elleh)	block	0
100051	1000	3	4460	Scholar's Armament	100510	1	3000	Limgrave (Church of Elleh)	row	0
100052	1000	3	4470	Scholar's Shield	100520	1	2500	Limgrave (Church of Elleh)	row	0
100053	1000	3	4060	Crystal Barrage	100530	1	1500	Limgrave (Church of Elleh)	row	0
100054	1000	3	4070	Glintstone Arc	100540	1	1500	Limgrave (Church of Elleh)	block	0
100055	1000	3	4040	Glintstone Stars	100550	1	3000	Limgrave (Church of Elleh)	block	0
100056	1000	3	4030	Shard Spiral	100560	1	8000	Limgrave (Church of Elleh)	row	14009267
100057	1000	3	4020	Glintstone Cometshard	100570	1	12000	Limgrave (Church of Elleh)	block	1044369244
100058	1000	3	4050	Star Shower	100580	1	10000	Limgrave (Church of Elleh)	block	1044369244
100059	1000	3	4001	Great Glintstone Shard	100590	1	2000	Limgrave (Church of Elleh)	block	1044369250
100060	1000	3	4010	Swift Glintstone Shard	100600	1	600	Limgrave (Church of Elleh)	block	1044369250
100061	1000	3	4300	Glintblade Phalanx	100610	1	2500	Limgrave (Church of Elleh)	block	1044369245
100062	1000	3	4440	Carian Slicer	100620	1	1500	Limgrave (Church of Elleh)	block	1044369245
100075	1000	4	10100	Ash of War: Impaling Thrust	100750	1	1000	Limgrave (Church of Elleh)	row	0
100076	1000	4	10300	Ash of War: Spinning Slash	100760	1	1200	Limgrave (Church of Elleh)	row	0
100077	1000	4	80000	Ash of War: Quickstep	100770	1	800	Limgrave (Church of Elleh)	row	0
100078	1000	4	10600	Ash of War: Stamp (Upward Cut)	100780	1	1500	Limgrave (Church of Elleh)	row	0
100079	1000	4	50300	Ash of War: Kick	100790	1	800	Limgrave (Church of Elleh)	row	0
100080	1000	4	65100	Ash of War: War Cry	100800	1	800	Limgrave (Church of Elleh)	row	0
100081	1000	4	70000	Ash of War: Endure	100810	1	600	Limgrave (Church of Elleh)	row	0
100082	1000	4	30200	Ash of War: Parry	100820	1	600	Limgrave (Church of Elleh)	row	0
100083	1000	4	21000	Ash of War: Storm Blade	100830	1	1800	Limgrave (Church of Elleh)	row	0
100084	1000	4	20700	Ash of War: Eruption	100840	1	8000	Limgrave (Church of Elleh)	row	16009208
100085	1000	4	60200	Ash of War: Assassin's Gambit	100850	1	6500	Limgrave (Church of Elleh)	row	16009208
100086	1000	4	30900	Ash of War: No Skill	100860	1	600	Limgrave (Church of Elleh)	row	0
100100	1001	3	2140	Margit's Shackle	110000	1	5000	Roundtable Hold	row	0
100101	1001	3	9360	Missionary's Cookbook [2]	67600	1	800	Roundtable Hold	row	0
100102	1001	3	8000	Stonesword Key	110020	1	5000	Roundtable Hold	block	0
100103	1001	3	150	Furlcalling Finger Remedy	110030	3	1000	Roundtable Hold	block	0
100105	1001	3	1200	Gold-Pickled Fowl Foot	110050	3	600	Roundtable Hold	row	0
100108	1001	0	1020000	Parrying Dagger	110080	1	1600	Roundtable Hold	row	0
100111	1001	2	6070	Sacrificial Twig	110110	1	5000	Roundtable Hold	block	0
100112	1001	3	111	Festering Bloody Finger	110120	5	1000	Roundtable Hold	block	0
100113	1001	3	2050	Grace Mimic	110130	15	100	Roundtable Hold	row	0
100114	1001	3	1750	Fan Daggers	110140	20	160	Roundtable Hold	row	1038419270
100115	1001	0	51000000	Great Arrow	110150	10	300	Roundtable Hold	block	0
100116	1001	0	53000000	Ballista Bolt	110160	5	300	Roundtable Hold	block	0
100117	1001	3	111	Festering Bloody Finger	110170	5	1000	Roundtable Hold	block	1038419271
100119	1001	0	5000000	Estoc	110190	1	3000	Roundtable Hold	block	1038419271
100120	1001	0	51000000	Great Arrow	110200	10	300	Roundtable Hold	block	1038419271
100121	1001	0	53000000	Ballista Bolt	110210	5	300	Roundtable Hold	block	1038419271
100122	1001	0	31240000	Horse Crest Wooden Shield	110220	1	1000	Roundtable Hold	row	0
100126	1001	3	6750	Litany of Proper Death	110260	1	2500	Roundtable Hold	row	0
100127	1001	3	6770	Order's Blade	110270	1	3000	Roundtable Hold	row	0
100150	1001	3	8136	Rya's Necklace	400300	1	1000	Roundtable Hold	block	0
100175	1001	3	4610	Night Shard	110750	1	4000	Roundtable Hold	row	0
100176	1001	3	6500	Night Maiden's Mist	110760	1	5000	Roundtable Hold	row	0
100177	1001	3	4040	Glintstone Stars	110770	1	3000	Roundtable Hold	block	0
100185	1001	3	7200	Pest Threads	110850	1	7500	Roundtable Hold	row	1038519257
100200	1002	4	12000	Ash of War: Spinning Weapon	120000	1	1000	Liurnia of the Lakes (Ranni's Rise)	row	0
100201	1002	4	20300	Ash of War: Glintstone Pebble	120010	1	1500	Liurnia of the Lakes (Ranni's Rise)	row	0
100202	1002	4	21900	Ash of War: Carian Greatsword	120020	1	2500	Liurnia of the Lakes (Ranni's Rise)	row	0
100227	1002	3	10162	Somber Smithing Stone [3]	120270	3	4000	Liurnia of the Lakes (Ranni's Rise)	block	0
100228	1002	3	10163	Somber Smithing Stone [4]	120280	3	6000	Liurnia of the Lakes (Ranni's Rise)	block	0
100229	1002	2	6020	Carian Filigreed Crest	120290	1	5000	Liurnia of the Lakes (Ranni's Rise)	row	1034509360
100250	1002	3	4000	Glintstone Pebble	120500	1	1000	Liurnia of the Lakes (Ranni's Rise)	block	0
100251	1002	3	4070	Glintstone Arc	120510	1	1500	Liurnia of the Lakes (Ranni's Rise)	block	0
100252	1002	3	4140	Starlight	120520	1	2500	Liurnia of the Lakes (Ranni's Rise)	row	0
100275	1002	3	4301	Carian Phalanx	120750	1	12000	Liurnia of the Lakes (Ranni's Rise)	block	0
100276	1002	3	4400	Glintstone Icecrag	120760	1	7500	Liurnia of the Lakes (Ranni's Rise)	row	0
100277	1002	3	4420	Freezing Mist	120770	1	6000	Liurnia of the Lakes (Ranni's Rise)	row	0
100278	1002	3	4640	Carian Retaliation	120780	1	9000	Liurnia of the Lakes (Ranni's Rise)	block	0
100279	1002	3	4020	Glintstone Cometshard	120790	1	12000	Liurnia of the Lakes (Ranni's Rise)	block	1034509450
100280	1002	3	4050	Star Shower	120800	1	10000	Liurnia of the Lakes (Ranni's Rise)	block	1034509450
100281	1002	3	4001	Great Glintstone Shard	120810	1	2000	Liurnia of the Lakes (Ranni's Rise)	block	1034509455
100282	1002	3	4010	Swift Glintstone Shard	120820	1	600	Liurnia of the Lakes (Ranni's Rise)	block	1034509455
100283	1002	3	4300	Glintblade Phalanx	120830	1	2500	Liurnia of the Lakes (Ranni's Rise)	block	1034509451
100284	1002	3	4440	Carian Slicer	120840	1	1500	Liurnia of the Lakes (Ranni's Rise)	block	1034509451
100300	1003	3	261000	Finger Maiden Therolina Puppet	130000	1	2	Liurnia of the Lakes (Seluvis's Rise)	block	0
100301	1003	3	262000	Dolores the Sleeping Arrow Puppet	130010	1	5	Liurnia of the Lakes (Seluvis's Rise)	row	11109919
100302	1003	3	263000	Jarwight Puppet	130020	1	3	Liurnia of the Lakes (Seluvis's Rise)	row	0
100310	1003	3	260000	Dung Eater Puppet	130100	1	5	Liurnia of the Lakes (Seluvis's Rise)	block	35009326
100325	1003	3	9347	Glintstone Craftsman's Cookbook [7]	67470	1	2500	Liurnia of the Lakes (Seluvis's Rise)	block	0
100326	1003	3	9501	Ritual Pot	66450	1	1500	Liurnia of the Lakes (Seluvis's Rise)	block	0
100329	1003	3	15040	Old Fang	130290	3	800	Liurnia of the Lakes (Seluvis's Rise)	block	0
100330	1003	3	15120	Slumbering Egg	130300	2	600	Liurnia of the Lakes (Seluvis's Rise)	block	0
100334	1003	4	30500	Ash of War: Carian Retaliation	130340	1	3000	Liurnia of the Lakes (Seluvis's Rise)	block	0
100335	1003	3	2130	Celestial Dew	130350	1	5000	Liurnia of the Lakes (Seluvis's Rise)	block	0
100336	1003	3	8185	Larval Tear	130360	1	3000	Liurnia of the Lakes (Seluvis's Rise)	block	0
100337	1003	3	15050	Budding Horn	130370	2	1500	Liurnia of the Lakes (Seluvis's Rise)	block	0
