# AUTO-GENERATED by tools/extract_questline_conditions.py --dag-corpus -- DO NOT EDIT, re-emit.
# One row per (AWARD SITE, cone ROOT) from the #1085 questline-condition extractor; parameterised-event call sites are complete.
# The artifacts it reads (decompiled EMEVD + talk ESD) are licensing-restricted and absent from CI,
#   so this table is COMMITTED and re-emitted by hand -- the same shape as greenfield/flag_names.tsv.
#   Re-emit: python tools/gen_inputs.py --ensure elden_ring_artifacts && \
#            python tools/extract_questline_conditions.py elden_ring_artifacts --dag-corpus greenfield/questline_conditions.tsv
# 🛑 A ROW IS A COND ROOT, NOT A VERDICT. cone_completeness says how much of the cone was read:
#   complete = nothing refused; budget_capped = only CAPS were hit (the cone can MISS a prerequisite,
#   never invent one); unreadable = a guard could not be read at all. build_questline_dag.py owns
#   the admission rule and tallies what it refuses.
# 🛑 disjunctive=Y: the SITE guards contain an `||` and the arms were UNIONED, so those roots are an
#   OVER-approximation. A disjunction met further down a setter chain is not marked at all, which is
#   why no consumer may read a site's roots as a proven conjunction.
# 🛑 ObjAct / MSB / ChrActivateConditionParam / ceremony / shop-lineup gating is OUTSIDE this corpus.
#   Absence of a row is 'no gate visible here', never 'no gate'.
# MEASURED THIS EMIT: 8996 row(s) | cone: budget_capped 3435, complete 1184, unreadable 4377
# roots NOT addressable as a source id (dropped once, here, and counted): root-class-not-addressable:BOSS_KILL 627, root-class-not-addressable:COUNT_FLAGS 51, root-class-not-addressable:DIALOGUE_CHOICE 184, root-class-not-addressable:FLAG_BAND 101, root-class-not-addressable:REGION_ACCESS 905, site-has-no-award-flag 369
target_flag	target_lot	site_file	site_event	site_callsite	site_verb	designation	cone_completeness	disjunctive	control_flow_skipped	root_class	source_id	source_kind	setter_cite	unresolved_forms
171	10010	common.emevd.dcx.js	1100	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			BOSS_KILL	10000800	flag	m10_00_00_00.emevd.dcx.js:10002800	HPRatio
171	10010	common.emevd.dcx.js	1100	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			BOSS_KILL	9101	flag	m10_00_00_00.emevd.dcx.js:10002800	HPRatio
171	10010	common.emevd.dcx.js	1100	0	AwardItemsIncludingClients	UNRESOLVED	unreadable			MAP_ACCESS	m10_00	map	m10_00_00_00.emevd.dcx.js	HPRatio
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	310	flag	common.emevd.dcx.js:910	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	3363	flag	common.emevd.dcx.js:3379	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	7609	flag	m14_00_00_00.emevd.dcx.js:14002165	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	9001	flag	common.emevd.dcx.js:901	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	9104	flag	m11_00_00_00.emevd.dcx.js:11002800	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	9118	flag	m14_00_00_00.emevd.dcx.js:14002800	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	9130	flag	m60_52_38_00.emevd.dcx.js:1252382800	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		BOSS_KILL	9412	flag	m60_52_38_00.emevd.dcx.js:1252382800	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1034509256	flag	talk/m60_00_00_00-only/t316206000.py:t316206000_x53	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1034509405	flag	talk/m60_00_00_00-only/t106016000.py:t106016000_x12	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1034509410	flag	talk/m60_00_00_00-only/t106016000.py:t106016000_x64	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1034509411	flag	talk/m60_00_00_00-only/t106016000.py:t106016000_x64	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1034509432	flag	talk/m60_00_00_00-only/t106016000.py:t106016000_x64	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1037469289	flag	talk/m60_00_00_00-only/t330016000.py:t330016000_x3	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369209	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x42	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369221	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x51	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369224	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x44	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369225	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x54	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369226	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x54	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369227	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x55	BUDGET_EXCEEDED
171	10010	talk/m00_00_00_00-only/t000001000.py	t000001000_x7		PlayerEquipmentQuantityChange	UNRESOLVED	budget_capped	Y		DIALOGUE_STEP	1044369228	flag	talk/m60_00_00_00-only/t316006000.py:t316006000_x45	BUDGET_EXCEEDED
