# AUTO-GENERATED by tools/datamine_item_grace_coords.py (run on Windows). Map-local XYZ.
kind	key	map_id	x	y	z	name
item	400220	m10_00_00_00	-283.929	81.511	410.198	
item	400421	m10_00_00_00	-188.142	73.24	210.78	
item	400051	m10_00_00_00	-122.16	21.607	16.772	
item	10007450	m10_00_00_00	-203.436	68.713	96.886	
item	10007850	m10_00_00_00	-298.403	64.315	426.311	
item	10007730	m10_00_00_00	-156.782	74.883	225.763	
item	10007030	m10_00_00_00	-87.471	15.606	43.302	
item	10007040	m10_00_00_00	-91.922	11.824	-2.485	
item	10007050	m10_00_00_00	-229.244	75.891	68.703	
item	10007060	m10_00_00_00	-181.83	63.86	118.56	
item	10007080	m10_00_00_00	-180.319	58.979	70.906	
item	10007090	m10_00_00_00	-289.867	89.621	268.974	
item	10007100	m10_00_00_00	-214.888	43.902	13.03	
item	10007110	m10_00_00_00	-123.847	21.894766	-1.54	
item	10007120	m10_00_00_00	-149.989	12.122	-20.765	
item	10007130	m10_00_00_00	-205.96	27.524	-79.45	
item	10007140	m10_00_00_00	-141.222	25.668	1.231	
item	10007150	m10_00_00_00	-176.714	41.144	-13.641	
item	10007160	m10_00_00_00	-267.359	79.09	125.253	
item	10007170	m10_00_00_00	-239.25	50.815	43.87	
item	10007180	m10_00_00_00	-252.483	51.438	86.864	
item	10007190	m10_00_00_00	-249.271	59.293	95.721	
item	10007200	m10_00_00_00	-249.148	62.748	72.752	
item	10007210	m10_00_00_00	-239.083	61.356	60.79	
item	10007220	m10_00_00_00	-229.045	73.932	57.92	
item	10007230	m10_00_00_00	-215.348	115.436	156.511	
item	10007240	m10_00_00_00	-232.198	61.715	67.051	
item	10007250	m10_00_00_00	-245.324	75.532	70.05	
item	10007260	m10_00_00_00	-262.089	106.717	94.337	
item	10007270	m10_00_00_00	-288.043	79.12	84.055	
item	10007280	m10_00_00_00	-274.63	98.502	81.11	
item	10007290	m10_00_00_00	-254.674	109.543	105.947	
item	10007300	m10_00_00_00	-268.069	-22.14	133.862	
item	10007310	m10_00_00_00	-297.371	94.46	208.624	
item	10007320	m10_00_00_00	-308.687	67.97	189.57	
item	10007330	m10_00_00_00	-288.062	90.066	207.877	
item	10007340	m10_00_00_00	-190.233	67.668	119.475	
item	10007350	m10_00_00_00	-276.654	84.0698	196.62	
item	10007360	m10_00_00_00	-232.223	75.571	132.007	
item	10007370	m10_00_00_00	-193.881	75.834	113.494	
item	10007380	m10_00_00_00	-179.589	67.56448	82.81	
item	10007390	m10_00_00_00	-203.433	67.615	93.377	
item	10007400	m10_00_00_00	-202.817	67.67	100.418	
item	10007410	m10_00_00_00	-234.556	90.934	102.36	
item	65610	m10_00_00_00	-244.454	65.784	120.275	
