# AUTO-GENERATED by tools/datamine_shop_open_ranges.py -- every shop-opener call's
# (begin, end) ShopLineupParam range in the talk corpus: the display scope of one
# shop menu (issue #937). opener is the REPAINTABILITY bit: the client rewrites
# names at shop open only for OpenRegularShop (its ESD command-22 detour); rows
# shown by any other opener need baseline-unique spare rows. features/shops.py
# colors spare preview rows against these scopes. talk_ids is provenance.
opener	begin	end	check_rows	talk_ids
OpenAshOfWarShop	112000	112150	0	t213001110;t213006000
OpenChampionsEquipmentShop	101500	101574	49	t102001110
OpenDragonCommunionShop	101950	101974	13	t601016000
OpenDragonCommunionShop	101975	101999	3	t601006000
OpenDragonCommunionShop	102350	102351	2	t630006100
OpenDragonCommunionShop	102355	102355	1	t630006100
OpenDupeShop	100300	100309	3	t307006000
OpenDupeShop	102700	102730	25	t603001203;t603006000;t603016000;t603026000;t603036000
OpenDupeShop	102710	102730	16	t603206000;t603216000
OpenDupeShop	102800	102830	25	t631006100;t631016100;t631026100
OpenPuppetShop	100300	100324	4	t307006000;t307036000
OpenRegularShop	100000	100024	13	t302001000;t302011000;t302021000;t302031000;t302041000;t302051000;t302061000;t600001110
OpenRegularShop	100050	100074	13	t316006000;t316206000;t316211400;t316301400;t600001110
OpenRegularShop	100075	100099	12	t326001600;t326006000;t326101600;t600001110
OpenRegularShop	100100	100124	17	t309001600;t309003100;t309006000;t419002200;t600001110
OpenRegularShop	100125	100149	2	t319001110;t319006000;t600001110
OpenRegularShop	100150	100174	1	t331006000;t600001110
OpenRegularShop	100175	100184	3	t349006000;t600001110
OpenRegularShop	100185	100199	1	t349006000;t600001110
OpenRegularShop	100200	100224	3	t325001000;t325001110;t600001110
OpenRegularShop	100225	100249	3	t224006000;t600001110
OpenRegularShop	100250	100274	3	t333006000;t600001110
OpenRegularShop	100275	100299	10	t307006000;t600001110
OpenRegularShop	100300	100324	4	t600001110
OpenRegularShop	100325	100349	11	t307106000;t600001110
OpenRegularShop	100350	100399	29	t351001100;t351001105;t351001110;t351006000;t600001110
OpenRegularShop	100400	100424	8	t330006000;t600001110
OpenRegularShop	100425	100474	18	t330006000;t600001110
OpenRegularShop	100500	100524	15	t600001110;t800001100;t800003500;t800006000
OpenRegularShop	100525	100549	8	t600001110;t800026000;t801116000;t801516000
OpenRegularShop	100550	100574	13	t600001110;t801126000
OpenRegularShop	100550	100579	15	t800046000
OpenRegularShop	100575	100599	11	t600001110;t801136000
OpenRegularShop	100600	100624	16	t600001110;t801146000
OpenRegularShop	100625	100649	11	t600001110;t800001100;t800003500;t800006000;t801156000
OpenRegularShop	100650	100674	15	t600001110;t800001100;t800003500;t800006000;t801166000
OpenRegularShop	100675	100699	16	t600001110;t801176000
OpenRegularShop	100700	100724	14	t600001110;t801186000
OpenRegularShop	100725	100749	11	t600001110;t801196000
OpenRegularShop	100750	100774	10	t600001110;t801206000
OpenRegularShop	100775	100799	7	t600001110;t801216000
OpenRegularShop	100800	100824	2	t600001110;t801226000
OpenRegularShop	100825	100849	9	t600001110;t801236000
OpenRegularShop	100850	100874	0	t600001110
OpenRegularShop	100875	100899	14	t600001110;t801256000
OpenRegularShop	100900	100924	8	t600001110;t801266000
OpenRegularShop	100925	100949	8	t600001110;t801271202
OpenRegularShop	100950	100974	9	t600001110;t801281201
OpenRegularShop	100975	100999	5	t600001110;t801291205
OpenRegularShop	101800	101897	32	t600001110
OpenRegularShop	102250	102289	25	t415006100;t600001110
OpenRegularShop	102270	102289	12	t419006100
OpenRegularShop	102300	102310	9	t420006100;t600001110
OpenRegularShop	122050	122099	0	t801106000
OpenRegularShop	123000	123049	0	t800016000
OpenRegularShop	123050	123099	0	t800036000;t800056000
OpenRegularShop	129050	129099	0	t800906000
OpenRegularShop	600401	600450	0	t800076000;t800086000
OpenRegularShop	600501	600550	0	t800106000;t800116000;t800126000
OpenTailoringShop	110000	110399	0	t223001100;t223001105;t223001400;t223003115;t223006000
OpenTailoringShop	111000	111399	0	t000001000
OpenTranspositionShop	101898	101949	51	t102001110
