# Second opinion on the "(region unconfirmed)" checks -- tools/audit_region_second_opinion.py
#
# Sources: Eldenpedia (eldenring.wiki.gg, CC BY-SA 4.0); Elden Ring Wiki on Fandom
# (eldenring.fandom.com, CC BY-SA 3.0) as fallback. ERDB (MIT) probed and not used: its
# datamined params carry no placement field. Fextralife is deliberately not consulted.
#
# No wiki prose is reproduced here. Every cell is a region name from OUR vocabulary, an id
# from OUR tables, a page TITLE used as a citation, or a verdict in OUR words.
#
# This is a CANDIDATE list for hand-adjudication, not a cull list and not a fix list.
# NO-DATA means "not readable there" -- absence on a thin wiki is WEAK evidence that
# says nothing about whether the check's region is right.
#
# The msb_vote_* columns are a SECOND and SEPARATE opinion, computed offline from our own
# committed MSB coordinates (tools/msb_region_vote.py): the region of the nearest
# region-attributed Site of Grace, once the check is folded into the overworld frame.
# 92.9% on a 2169-check control set (--calibrate, 2026-08-26) -- roughly one row in fourteen is WRONG, so this is a RANKING signal for hand-adjudication, never an adjudicator. It does NOT describe a PLAYAREA-CONFIRMED row: those are RULINGS from the PlayArea point-in-volume test (docs/PLAYAREA-ITEM-SCAN.md), they REPLACED the vote, and the 518 of them in the control population are excluded from the number above rather than flattering it.
# It is NOT independent of the nearest-neighbour hop that produced these regions in the first
# place, so a vote that AGREES with us corroborates nothing. vote_note: NO-COORDS (no MSB row),
# NO-ANCHOR (no region-attributed grace in that frame), SUSPECT-ANCHOR (the anchoring grace's
# own region came from a tile-default row, so the vote inherits a tile-wide guess),
# CROSS-TILE-MSB (the coords are authored on a different fine-grid tile than the label names),
# COARSE-LOD (the coords row is on a LOD1/2 tile -- folded correctly, but coarser).
verdict	our_region	external_regions	flag	ap_id	map_tile	item	source	page_title	scope	how	label	msb_vote_region	vote_distance_m	vote_unanimous	vote_anchor_grace	vote_note
DISAGREE	Liurnia	Ainsel River	1033457100	7774376	m60_33_45	Dragonscale Blade	eldenpedia	Dragonscale Blade	page-wide	GUESSED	Liurnia :: Dragonscale Blade - m60_33_45 (region unconfirmed) [f1033457100]					NO-COORDS
DISAGREE	Altus	Mt. Gelmir	1038527000	7772827	m60_38_52	Pearldrake Talisman +1	eldenpedia	Pearldrake Talisman +1	acquisition	GUESSED	Altus :: Pearldrake Talisman +1 - near Seethewater River (region unconfirmed) [f1038527000]	Altus	215.0	no	73204 Old Altus Tunnel	
DISAGREE	Altus	Caelid	1040507000	7772899	m60_40_50	Gravity Stone Fan	eldenpedia	Gravity Stone Fan	acquisition	GUESSED	Altus :: Gravity Stone Fan - near Altus Highway Junction (region unconfirmed) [f1040507000]	Altus	288.2	yes	76303 Altus Highway Junction	
DISAGREE	Altus	Limgrave	1041517020	7772928	m60_41_51	Silver-Pickled Fowl Foot	eldenpedia	Silver-Pickled Fowl Foot	page-wide	GUESSED	Altus :: Silver-Pickled Fowl Foot - near Outer Wall Phantom Tree (region unconfirmed) [f1041517020]	Altus	255.4	yes	76305 Rampartside Path	
DISAGREE	Altus	Caelid	1041517030	7772929	m60_41_51	Gravity Stone Chunk	eldenpedia	Gravity Stone Chunk	acquisition	GUESSED	Altus :: Gravity Stone Chunk - near Altus Highway Junction (region unconfirmed) [f1041517030]	Altus	314.2	yes	76303 Altus Highway Junction	
DISAGREE	Weeping	Liurnia	1042327100	7772940	m60_42_32	Composite Bow	eldenpedia	Composite Bow	page-wide	GUESSED	Weeping :: Composite Bow - treasure · m60_42_32 (region unconfirmed) [f1042327100]					NO-COORDS
DISAGREE	Limgrave	Mt. Gelmir	1042397500	7772981	m60_42_39	Scaled Helm	eldenpedia	Scaled Helm	acquisition	GUESSED	Limgrave :: Scaled Greaves - m60_42_39 (region unconfirmed) [f1042397500]					NO-COORDS
DISAGREE	Limgrave	Mt. Gelmir	1042397500	7900253	m60_42_39	Scaled Armor	eldenpedia	Scaled Armor	acquisition	GUESSED	Limgrave :: Scaled Greaves - m60_42_39 (region unconfirmed) [f1042397500]					NO-COORDS
DISAGREE	Limgrave	Mt. Gelmir	1042397500	7900254	m60_42_39	Scaled Gauntlets	eldenpedia	Scaled Gauntlets	acquisition	GUESSED	Limgrave :: Scaled Greaves - m60_42_39 (region unconfirmed) [f1042397500]					NO-COORDS
DISAGREE	Limgrave	Mt. Gelmir	1042397500	7900255	m60_42_39	Scaled Greaves	eldenpedia	Scaled Greaves	acquisition	GUESSED	Limgrave :: Scaled Greaves - m60_42_39 (region unconfirmed) [f1042397500]					NO-COORDS
DISAGREE	Altus	Mt. Gelmir,Leyndell	1042547020	7774599	m60_42_54	Holyproof Dried Liver	eldenpedia	Holyproof Dried Liver	page-wide	GUESSED	Altus :: Holyproof Dried Liver - near Windmill Heights (region unconfirmed) [f1042547020]	Altus	144.5	yes	76313 Windmill Heights	
