# location_descriptions.tsv -- LAYER 1 (highest priority) of the desc_sources waterfall.
# Hand-authored English descriptions, keyed by the check's event flag. Anything here WINS over the
# boss / spot-name / nearest-grace / locale layers, so this is where you correct any auto-descriptor
# that reads badly, and where you give the "self-explanatory" special cases a chosen phrase.
# Format:  <flag>\t<English description>    (tab-separated; '#' lines and blanks ignored)
# The description is inserted as:  Region :: Item - <description> [f<flag>]
# --- examples (edit / extend freely) ---
# 2026-08-24: four rows LEFT this file (510230 Elden Beast, 510330 Regal Ancestor Spirit,
# 510400 Divine Beast Dancing Lion, 510480 Putrescent Knight). The layer-2 boss join now derives
# those exact strings, and a hand override the derivation already makes is a lie about why the
# code works -- the same rule _BOSS_DROP_EXTRAS enforces with a hard error, and gen_data enforces
# it the same way here. The 30 SHORT names below are NOT redundant: they deliberately differ from
# the full in-game name ('Morgott' not 'Morgott, the Omen King') because the item is already called
# 'Remembrance of the Omen King'. Layer 1 winning is the point.
flag	description
171	Godrick
172	Starscourge Radahn
173	Morgott
174	Rykard
175	Mohg
176	Malenia
197	Rennala
250330	Twin Maiden Husks
290000	Enia Shop
400001	talk to Melina after killing Morgott
400072	Talk to Tanith
400130	Kill albinauric disguised as pot (or, talk to him)
400696	Kill Queelign in church of the crusade
510010	Godrick
510040	Morgott
510070	Hoarah Loux
510080	Astel
510110	Fortissax
510120	Mohg
510150	Placidusax
510160	Maliketh
510190	Loretta (real)
510200	Malenia
510220	Rykard
510250	Sewer Mohg
510260	Makkar
510300	Starscourge Radahn
510310	Fire Giant
510430	Promised Consort Radahn
510440	Hippo
510460	Messmer
510550	Metyr
510560	Midra
510600	Romina
510620	Scadutree Avatar
510630	BAYLE
510640	Gaius
510800	Leonine Misbegotten, Castle Morne Boss
510900	Rellana
520770	Lamenter, boss of Gaol
530110	Agheel
530810	Dancer of Ranah
530820	Blackgaol Knight
530905	Big Red Bear
10007500	chest in room with banished knight ambush
20007010	entrance lobby statue
20007170	entrance lobby statue
20007700	statue near tree
20007710	statue near tree
20007800	statue after Divine Beast Dancing Lion fight
20007900	shadowpot on bridge
20017900	dropped by a thick inquisitor near the Gate of Divinity
20017350	at the cross near Spiral Rise
20017200	fall through the broken bridge to the statue (man-flies praying to it)
20017550	at the altar near Cleansing Chamber Anteroom
20017400	statue indoors, off the bird rooftops
28007900	dropped by a chonky inquisitor near Manse Hall
28007110	on a chandelier near the Second Floor Chamber grace
2053417500	at the altar right in front of you at the Church Ruins grace
20017470	in a building at an altar, up and around the corner from the bird-rooftops statue
2049497500	in the area past Commander Gaius
2049497520	in the area past Commander Gaius
2049497530	in the area past Commander Gaius
2049497540	in the area past Commander Gaius
2049497550	in the area past Commander Gaius
2044457000	temple at top of stairs, near Ancient Ruins, Grand Stairway
2044467000	statue by the temple at the top of the stairs
2046467000	on a hippopotamus: down the elevator, out of the bloodfiend room, down the stairs
2046477750	at the cross near Rauh Ancient Ruins, East
2046477960	on a shadowpot above the ravine
20007480	top of waterfall, up the ladder in the room
20007510	drapery, fall off the gravebird roofs
41027000	in the accessible part of Gaol, chest in a room
41027320	In the Gaol, after you use the Upper Level Key to unlock
1034457100	behind the sleepy dragon, on a corpse
1039507100	Godefroy, Evergaol
1046367500	Fort Haight chest, up ladder
1051397900	Fort Faroth chest
1051587800	in arena after killing Commander Niall, Castle Sol
2047467500	Church of the Crusade
# --- DLC Scadutree Fragment / Revered Spirit Ash overrides (Alaric worksheet, 2026-07-18) ---
2048377050	Cerulean Coast Cross
2047447720	Castle Ensis Checkpoint cross
2045417700	Statue East of Cliffroad Terminus
2047437700	Statue east of Ellac River Cave, turn left
2046447700	Abandoned Ailing Village statue
2047417700	Southeast of Scorched Ruins, overlooking the waterfall
2047417995	Shadowpot East of Scorched Ruins
2044417995	Shadowpot, graveyard southwest of Cliffroad Terminus
2047447750	Encampment in front of Castle Ensis
2045427700	On the cross at Main Gate Cross
2048437700	On the cross at Pillar Path Cross, by Thiollier
2046427700	On the cross at Three-Path Cross
2050447500	Follow the river bed north
2050467700	Ruins of Unte
2049440990	Moorth Ruins shadowpot
2048457520	Highroad Cross
2049447530	Moorth Ruins Cross
2050457730	Coffin at base of waterfall
2050437500	Scaduview Cross
2047407100	From the Cerulean Coast grace, head southwest hugging the north cliff wall to a valley; small cave with a corpse on the valley's north side
2048467510	Marika statue, encampment south of Shadow Keep
2047397070	At Fissure Cross
2049457510	Statue at the north tip of the pond north of Moorth Ruins
20007620	Cross, jump over the rubble to the right of the entrance to the room with two big Spider Scorpions. Down the hall
# --- 2026-08-02, live playtest (Alaric, in game). Two Liurnia Golden Seeds whose anchors read
# wrong on screen. Measured from item_grace_coords.tsv, overworld tiles folded world = tile*256
# + local (tools/build_nearest_grace.py._normalize). ---
# f1035467100 -- world (8972, 313, 11897). The 2026-08-01 override said "near Academy Gate Town";
# that grace is 872 m away and 27th-nearest, so the override was simply wrong. The algorithmic
# winner, East Gate Bridge Trestle, is 86 m -- but 75 m BELOW, at lake level, while the seed sits
# up on the raised causeway at gate height. Main Academy Gate (184 m, dy +9 m) is the nearest grace
# you can actually walk from, so the override stays and names it.
1035467100	near Main Academy Gate
# f1036447300 -- world (9233, 238, 11278). The algorithm picks Fallen Ruins of the Lake (190 m) over
# Academy Gate Town (237 m). Alaric WALKED IT 2026-08-02 and says the Gate Town is the landmark a
# human navigates by; this override loses 47 m on the metric and wins on the ground. Oracle: Alaric,
# in game, 2026-08-02.
1036447300	near Academy Gate Town
# 2026-08-03 (#336). The auto-descriptor fell through to the MAP TILE id ("m60_42_50"), which is
# not a place a player can walk toward. Alaric named the real anchor in game, and it is a BOSS,
# not a grace. Worth asking why the boss layer did not fire here -- if it knows this Ulcerated
# Tree Spirit and did not use it, that is a generator bug affecting every boss-adjacent check.
1042507020	from the Ulcerated Tree Spirit south of Outer Wall Phantom Tree
# 2026-08-04. Golden Seeds and Sacred Tears -- the whole population (43 seeds, 13 tears over 56
# flags) hand-described by Alaric in one pass, from the in-game locations. Every one of these was
# previously rendered by the auto-descriptor waterfall: 43 by nearest-grace, 9 by tile-grace, 1 by
# machine locale, and f400220 by nothing at all. 10 of them ALSO had their region confirmed in the
# same pass -- see _REGION_CONFIRMED_FLAGS in gen_data.py, same commit.
#
# Two flags in that pass got a note rather than a description and are deliberately absent here:
#   f12057010 (Mohgwyn seed)   -- "bar this from progression, this one's complicated" -> now in
#                                 _SURFACE_EXCLUDE_FLAGS. Its auto descriptor is left alone.
#   f39207170 (Liurnia tear)   -- "seemingly not a real check". It was ALREADY excluded on
#                                 suspicion 2026-07-31; this is a second independent in-game
#                                 report that it is not where we say it is. Still not a location
#                                 claim we can write down, so it keeps its hedged auto name.
# f400220 (Roundtable Hold seed) is untouched -- it was left blank in the pass.
# 🛑 THREE of his 53 rows are NOT here, and were dropped deliberately: f1041387100 "near Stormhill
# Shack", f1049557800 "near Consecrated Snowfield", f14007990 "near Schoolhouse Classroom". Each
# reproduced the nearest-grace layer BYTE FOR BYTE -- measured, by regenerating with them in and
# diffing data.py: 48 of the 51 names moved, those 3 did not. A layer-1 entry that only repeats
# layer 4 is the redundant override CONTRIBUTING forbids: it cannot be told apart from a
# load-bearing one, so nobody dares delete it and the crutch calcifies. The derivation already
# reaches these three; if the grace join ever drifts, that is a bug to fix there, not to pin here.
12017997	Ulcerated Tree Spirit drop in a rot river
12017100	on a tree near an elevator, near nokstella waterfall basin grace
1039517400	On a tree near the road
1038517400	Tree, north of Lux Ruins
1043527400	On tree, follow the path up from Outer Wall Phantom Tree and keep going past the paved section (1)
1043527410	On tree, follow the path up from Outer Wall Phantom Tree and keep going past the paved section (2)
1042517400	On the tree near Outer Wall Phantom Tree, by the Tree Sentinel Duo fight (1)
1042517410	On the tree near Outer Wall Phantom Tree, by the Tree Sentinel Duo fight (2)
1041547400	North of Wormface. Tree on a hill
1042547400	East of Windmill Village grace
520160	Putrid Tree-Spirit drop in War-Dead Catacombs
1051437020	South of Bestial Sanctum
1050397100	On a tree right by a grace
1049377020	Roadside Phantom Tree
13007980	Among pillars on a hill near Dragon Temple Rooftop
13007990	South of plaza fountain
15001200	Ulcerated Tree Spirit drop
11007993	near East Capital Rampart
11007990	Ulcerated Tree Spirit drop
510280	Ulcerated Tree Spirit in Fringefolk Hero's Grave
400191	Roderika leaves this behind after she goes to Roundtable, which is triggered by entering Liurnia
1046367100	near Fort Haight West
1035507300	on a tree between Manor Upper Level and Loretta
1037507100	Southwest of Ravine-Veiled Village
520180	Ulcerated Tree Spirit, Giant's Mountaintop Catacombs
1052537800	near Foot of the Forge, by two snow trolls
1049527800	between Forbidden Lands and Grand Lift of Rold
1048577800	West of Ordina, Liturgical Town
1052577800	In the valley Northeast of the minor erdtree
1037537400	North of Seethewater
1036547400	Northwest of Volcano Manor
12027040	North of Worshipper's Woods, across the bridge
10007195	Ulcerated Tree spirit, lower level of Stormveil
10007730	Tree in the courtyear on the way to Godrick
1044327020	near Castle Morne Rampart, between the Merchant and the castle on a hill off the road
1040517400	Stormcaller Church
1039527400	Second Church of Marika
1050387020	Church of the Plague
1046387100	Third Church of Marika
1036497000	Bellum Church
1037497100	Church of Inhibition
1039397000	Church of Irith
1051537800	Church of Repose
1054557800	First Church of Marika
1044337100	Callu Baptismal Church
1043357100	Church of Pilgrimmage
1041337200	Fourth Church of Marika
