# AUTO-GENERATED by tools/build_questline_model.py -- DO NOT EDIT.
# Typed evidence union over questline_dag.tsv + questline_cc_wiki.tsv.
# This file as a compilation is CC BY-SA 4.0; project-derived rows retain their underlying status. See release/ATTRIBUTION.md.
# EVIDENCE ONLY: nothing in the world imports this table. requires/excludes are candidate facts, not access rules.
# Nodes are typed (`flag:` / `item:`); never compare their bare ids across spaces.
# MEASURED: 2073 evidence rows (2060 game-data, 13 CC-wiki), 1845 typed edges.
source_node	target_node	relation	group_id	group_semantics	evidence_kind	evidence_origin	quest	source_label	target_label	source_region	target_region	claim	source_game_ref	id_evidence	source_page	source_page_id	source_revision	source_timestamp	source_url	license
map:m10_00	flag:10007085	requires	game:questline_conditions:10007085:m10_00_00_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Stormveil :: Somber Smithing Stone [1] - around Castleward Tunnel, may be sweep-granted by Margit, the Fell Omen (m10_00) [f10007085]		Stormveil	cone root MAP_ACCESS(m10_00) at m10_00_00_00.emevd.dcx.js:90005300 set by m10_00_00_00.emevd.dcx.js	map:m10_00	questline_dag.tsv:questline_conditions						project-derived
map:m10_00	flag:10007195	requires	game:questline_conditions:10007195:m10_00_00_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Stormveil :: Golden Seed - Ulcerated Tree spirit, lower level of Stormveil, may be sweep-granted by Margit, the Fell Omen (m10_00) [f10007195]		Stormveil	cone root MAP_ACCESS(m10_00) at m10_00_00_00.emevd.dcx.js:90005300 set by m10_00_00_00.emevd.dcx.js	map:m10_00	questline_dag.tsv:questline_conditions						project-derived
map:m10_00	flag:10007295	requires	game:questline_conditions:10007295:m10_00_00_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Stormveil :: [Incantation] Aspects of the Crucible: Horns - around Castleward Tunnel, may be sweep-granted by Godrick the Grafted (m10_00) [f10007295]		Stormveil	cone root MAP_ACCESS(m10_00) at m10_00_00_00.emevd.dcx.js:90005300 set by m10_00_00_00.emevd.dcx.js	map:m10_00	questline_dag.tsv:questline_conditions						project-derived
map:m60_33	flag:1033417400	requires	game:questline_conditions:1033417400:m60_33_41_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Liurnia :: Dragon Heart - m60_33_41 (region unconfirmed) (1) [f1033417400]		Liurnia	cone root MAP_ACCESS(m60_33) at m60_33_41_00.emevd.dcx.js:90005300 set by m60_33_41_00.emevd.dcx.js	map:m60_33	questline_dag.tsv:questline_conditions						project-derived
map:m60_33	flag:1033417410	requires	game:questline_conditions:1033417410:m60_33_41_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Liurnia :: Dragon Heart - m60_33_41 (region unconfirmed) (2) [f1033417410]		Liurnia	cone root MAP_ACCESS(m60_33) at m60_33_41_00.emevd.dcx.js:90005300 set by m60_33_41_00.emevd.dcx.js	map:m60_33	questline_dag.tsv:questline_conditions						project-derived
map:m60_34	flag:1034427400	requires	game:questline_conditions:1034427400:m60_34_42_00.emevd.dcx.js:90005300:0	single	game_data	questline_conditions			Liurnia :: Dragon Heart - around Village of the Albinaurics [f1034427400]		Liurnia	cone root MAP_ACCESS(m60_34) at m60_34_42_00.emevd.dcx.js:90005300 set by m60_34_42_00.emevd.dcx.js	map:m60_34	questline_dag.tsv:questline_conditions						project-derived
map:m60_34	flag:1034437200	requires	game:questline_conditions:1034437200:m60_34_43_00.emevd.dcx.js:1034432261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Converted Tower, may be sweep-granted by Omenkiller (m60_35_42) [f1034437200]		Liurnia	cone root MAP_ACCESS(m60_34) at m60_34_43_00.emevd.dcx.js:1034432261 set by m60_34_43_00.emevd.dcx.js	map:m60_34	questline_dag.tsv:questline_conditions						project-derived
map:m60_34	flag:1034477300	requires	game:questline_conditions:1034477300:m60_34_47_00.emevd.dcx.js:1034472261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Sorcerer's Isle (1), may be sweep-granted by Royal Revenant (m60_34_48) [f1034477300]		Liurnia	cone root MAP_ACCESS(m60_34) at m60_34_47_00.emevd.dcx.js:1034472261 set by m60_34_47_00.emevd.dcx.js	map:m60_34	questline_dag.tsv:questline_conditions						project-derived
map:m60_34	flag:1034477310	requires	game:questline_conditions:1034477310:m60_34_47_00.emevd.dcx.js:1034472261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Sorcerer's Isle (2), may be sweep-granted by Royal Revenant (m60_34_48) [f1034477310]		Liurnia	cone root MAP_ACCESS(m60_34) at m60_34_47_00.emevd.dcx.js:1034472261 set by m60_34_47_00.emevd.dcx.js	map:m60_34	questline_dag.tsv:questline_conditions						project-derived
map:m60_34	flag:1034487300	requires	game:questline_conditions:1034487300:m60_34_48_00.emevd.dcx.js:1034482261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Northern Liurnia Lake Shore (1), may be sweep-granted by Royal Revenant (m60_34_48) [f1034487300]		Liurnia	cone root MAP_ACCESS(m60_34) at m60_34_48_00.emevd.dcx.js:1034482261 set by m60_34_48_00.emevd.dcx.js	map:m60_34	questline_dag.tsv:questline_conditions						project-derived
map:m60_34	flag:1034487310	requires	game:questline_conditions:1034487310:m60_34_48_00.emevd.dcx.js:1034482261:0	single	game_data	questline_conditions			Liurnia :: Golden Rune [6] - around Northern Liurnia Lake Shore (2), may be sweep-granted by Royal Revenant (m60_34_48) [f1034487310]		Liurnia	cone root MAP_ACCESS(m60_34) at m60_34_48_00.emevd.dcx.js:1034482261 set by m60_34_48_00.emevd.dcx.js	map:m60_34	questline_dag.tsv:questline_conditions						project-derived
flag:1035432220	flag:1035437100	requires	game:lot_gates:1035437100:90005390	single	game_data	lot_gates			Liurnia :: Larval Tear - around Folly on the Lake, may be sweep-granted by Glintstone Dragon Adula (m60_34_42) [f1035437100]	Liurnia	Liurnia	$InitializeCommonEvent(90005390) arg1	event_flag:1035432220	questline_dag.tsv:lot_gates						project-derived
flag:1035432220	flag:1035437100	requires	game:questline_conditions:1035437100:m60_35_43_00.emevd.dcx.js:90005390:0	unknown	game_data	questline_conditions			Liurnia :: Larval Tear - around Folly on the Lake, may be sweep-granted by Glintstone Dragon Adula (m60_34_42) [f1035437100]	Liurnia	Liurnia	cone root BOSS_KILL(1035432220) at m60_35_43_00.emevd.dcx.js:90005390 set by common_func.emevd.dcx.js:90005391	event_flag:1035432220	questline_dag.tsv:questline_conditions						project-derived
map:m60_35	flag:1035437100	requires	game:questline_conditions:1035437100:m60_35_43_00.emevd.dcx.js:90005390:0	unknown	game_data	questline_conditions			Liurnia :: Larval Tear - around Folly on the Lake, may be sweep-granted by Glintstone Dragon Adula (m60_34_42) [f1035437100]		Liurnia	cone root MAP_ACCESS(m60_35) at m60_35_43_00.emevd.dcx.js:90005390 set by m60_35_43_00.emevd.dcx.js	map:m60_35	questline_dag.tsv:questline_conditions						project-derived
flag:7607	flag:1035467700	requires	game:lot_gates:1035467700:90005774	single	game_data	lot_gates			Raya Lucaria Academy :: Ash of War: Raptor of the Mists - around Main Academy Gate, may be sweep-granted by Red Wolf of Radagon (m14_00) [f1035467700]		Raya Lucaria Academy	$InitializeCommonEvent(90005774) arg0	event_flag:7607	questline_dag.tsv:lot_gates						project-derived
