# maps=all sources=enemy,event,treasure
flag	map_id	item_lot_id	treasure_name	source
114	m14_00	14000960	宝箱006	treasure
171	m10_00	10010	trigflag9101	event
191	m34_10	34100500	common90005110	event
192	m34_13	34130050	common90005110	event
193	m34_14	34140700	common90005110	event
194	m34_12	34120500	common90005110	event
195	m34_14	34140710	common90005110	event
196	m34_15	34150000	common90005110	event
197	m14_00	10180	trigflag9118	event
9500	m11_05	4900	common90005750	event
9502	m12_03	103350	common90005750	event
9502	m12_03	4910	宝死体080 エルデンリングのパーツ（死）	treasure
9504	m35_00	4920	アイテム光000 エルデンリングのかけら	treasure
60000	m18_00	2000	award	event
60020	m60_46_38	1046380300	エリクサー水盆：000	treasure
60110	m60_42_36	103900	common90005750	event
60130	m60_42_37	1042371010	宝箱001 遺跡1-4	treasure
60210	m10_01	10010000	宝死体000	treasure
60220	m18_00	18000080	宝死体008：エレベータ前	treasure
60240	m60_42_40	1042400000	宝死体000：闘技場前	treasure
60260	m16_00	16000720	アイテム光00	treasure
60300	m11_10	11100800	common90005792	event
60400	m60_45_33	1045330100	宝箱000：魔術師の塔_下	treasure
60410	m60_34_43	1034430100	宝箱000：魔術師の塔	treasure
60420	m60_35_47	1035470100	宝箱000：魔術師の塔2-2	treasure
60430	m60_34_50	1034500100	宝箱000：魔術師の塔2-3	treasure
60440	m14_00	10170	trigflag9117	event
60450	m60_37_53	30395	common90005860	event
60460	m60_52_41	1052410900	宝箱000	treasure
60510	m10_00	10000	trigflag9100	event
60510	m11_00	10000	trigflag9100	event
60520	m11_00	10050	trigflag9105	event
62010	m60_42_37	1042370200	objAct 地図票アイテム	treasure
62011	m60_44_32	1044320000	OBJ用宝箱情報 地図取得	treasure
62012	m60_45_37	1045370020	OBJ用宝箱情報 地図取得	treasure
62020	m60_38_41	1038410200	OBJ用宝箱情報 地図石碑	treasure
62021	m60_37_44	1037440210	OBJ用宝箱情報 地図石碑	treasure
62022	m60_34_48	1034480200	OBJ用宝箱情報 地図石碑	treasure
62030	m60_40_52	1040520500	OBJ用宝箱情報 地図取得	treasure
62031	m60_42_51	1042510500	OBJ用宝箱情報 地図取得	treasure
62032	m60_36_54	1036540500	OBJ用宝箱情報 地図取得	treasure
62040	m60_49_37	1049370500	宝OBJ用情報005 地図取得	treasure
62041	m60_49_40	1049400500	OBJ用宝箱情報 地図取得	treasure
62050	m60_49_53	1049530700	地図石碑000：地図断片1_遺跡5-1手前	treasure
62051	m60_52_54	1052540700	その他000：地図断片2_巨人墓場入り口	treasure
62052	m60_48_56	1048560700	地図石碑000：地図断片3_下層中央地帯	treasure
62060	m12_01	12010000	宝死体000 地図	treasure
62061	m12_01	12010010	宝死体001 地図	treasure
62062	m12_05	12050000	宝死体000 地図	treasure
62063	m12_02	12020060	宝死体006 地図	treasure
62064	m12_03	12030000	宝死体000 地図 マリカ遺跡 東屋	treasure
62080	m61_47_41	2047410900	ObjAct 地図 遺跡南道路	treasure
62081	m61_48_45	2048450500	地図石碑	treasure
62082	m61_48_37	2048370040	地図断片	treasure
62083	m61_46_45	2046450710	アイテム光001	treasure
62084	m61_52_41	2052410600	地図ポイント	treasure
65030	m60_44_53	1044530200	エリクサー 大樹3-2	treasure
65040	m60_33_43	30205	common90005860	event
65050	m60_52_56	30525	common90005860	event
65060	m60_41_53	30320	common90005860	event
65090	m60_43_33	30185	common90005860	event
65100	m60_47_40	30410	common90005860	event
65110	m60_51_40	30415	common90005860	event
65120	m60_44_53	1044530210	エリクサー 大墓地最奥	treasure
65130	m60_50_57	30555	common90005860	event
65140	m60_45_37	1045370300	エリクサー水盆：000 小世界樹の麓	treasure
65150	m60_49_37	1049370000	OBJ用宝箱情報　エリクサー水盆	treasure
65180	m60_37_54	30380	common90005860	event
65200	m60_52_54	1052540790	その他009：エリクサー水盆	treasure
65210	m60_42_39	1042390000	OBJ用宝箱情報 エリクサー水盆	treasure
65220	m60_36_42	1036420000	OBJ用宝箱情報 エリクサー水盆	treasure
65220	m60_36_42	1036420000	宝死体000：大結晶前	treasure
65230	m60_35_49	1035490000	エリクサー水盆：000 湖砦下	treasure
65240	m60_43_34	1043340020	OBJ用宝箱情報 エリクサー水盆	treasure
65270	m60_39_52	101620	common90005792	event
65290	m60_38_48	30200	common90005860	event
65410	m61_48_46	2048460700	common90005301	event
65610	m10_00	10000420	【宝死体】 42	treasure
65640	m60_51_36	1051360070	宝死体007	treasure
65660	m11_00	11001010	award	event
65660	m11_00	11001010	宝死体 城館2階 鍛冶屋 種火 ※アイテム光に変更	treasure
65680	m14_00	14000500	宝死体050	treasure
65720	m12_02	12020010	宝死体001 儀式場祭壇	treasure
66000	m31_03	31030020	宝死体002	treasure
66010	m10_00	10000770	【宝死体】 77 →壷系 アイテム光に修正【day1変更】	treasure
66020	m10_00	10000775	【宝死体】 壷系 アイテム光追加【day1追加】	treasure
66080	m60_39_44	1039440100	アイテム光000	treasure
66090	m60_39_44	1039440110	アイテム光001	treasure
66100	m60_39_44	1039440120	アイテム光002	treasure
66110	m60_35_50	1035500400	アイテム光001	treasure
66120	m14_00	14000780	宝 アイテム光  庭園 講堂側 壷系【day1追加】	treasure
66120	m14_00	14000780	宝死体078	treasure
66130	m11_00	11000560	宝死体056	treasure
