# AUTO-EXPANDED from boss_region_worksheet.tsv by tools/build_boss_region_worksheet.py --expand.
# ⭐ HAND ROWS ARE PRESERVED -- this emit UNIONS with what is already here, so a
#   ruling for a boss the worksheet does not cover can be added by hand and will
#   survive every re-emit. The worksheet only carries bosses that own AMBIGUOUS
#   CHECKS; a sweep trigger with none has no row there and would otherwise have
#   nowhere for a human to write down where it is fought.
# WHERE THE BOSS IS FOUGHT, as ruled by a human in the arena_region column.
# gen_data fills SWEEP_ARENA_REGION from this ONLY where PlayRegionParam has no
#   boss-area row -- ranked BELOW measured evidence, so a ruling can replace an
#   ABSENT and never a measurement.
# `ruled_as` is the in-game PLACE name as written; `region` is it mapped through
#   PLACE_TO_REGION. Both are kept so a reader can audit the mapping.
# Unlike boss_verdict_tiles.tsv this KEEPS confirmations: a ruling that agrees
#   with derived_region still answers where the boss stands.
# ⭐ HAND ROWS ADDED 2026-08-26 (#1066, J's Discord report). Both bosses were already
#   ruled in boss_verdict_tiles.tsv by Alaric in-game on 2026-08-10; neither has a
#   PlayRegionParam boss-area row, so nothing carried the ruling into the sweep tables and
#   both hosted GRAVESITE divvy slices while being fought on ground Gravesite does not own:
#     2046400800 Demi-Human Queen Marigga -- boss_verdict_tiles m61_44_41/m61_47_40:
#       "Demi-Human Queen Marigga is on the CERULEAN COAST, not Gravesite."  PlayArea scan
#       corroborates: her tile m61_46_40 buckets 68300/68400 = Cerulean; Gravesite owns neither.
#     2049410800 Jagged Peak Drake -- boss_verdict_tiles m61_48_41/m61_49_42: "the Jagged Peak
#       Drake is on the JAGGED PEAK. Members ship as Gravesite."  Scan: nearest scanned tile
#       m61_49_38 resolves 68410 = Jagged Peak; Gravesite owns 68410 no more than 68500.
#   Since #1066 these rulings also decide the sweep HOST region, so each boss now hosts its own
#   arena's divvy and its Gravesite-measured members go back to Gravesite's own hosts.
boss_entity	boss_name	region	ruled_as
12080800	Ancestor Spirit	Siofra River	Siofra River
12090800	Regal Ancestor Spirit	Siofra River	Siofra River
22000800	Putrescent Knight	Cerulean	Cerulean
1033420800	Alecto, Black Knife Ringleader	Liurnia	Liurnia
1033450800	Bols, Carian Knight	Liurnia	Liurnia
1034420800	Glintstone Dragon Adula	Liurnia	Lirunia
1034450800	Glintstone Dragon Smarag	Liurnia	Liurnia
1034500800	Glintstone Dragon Adula	Liurnia	Liurnia
1035500800	Royal Knight Loretta	Liurnia	Liurnia
1035530800	Magma Wyrm	Mt. Gelmir	Mt. Gelmir
1036450800	Death Rite Bird	Liurnia	Liurnia
1036500800	Onyx Lord	Liurnia	Liurnia
1036540800	Full-Grown Fallingstar Beast	Mt. Gelmir	Mt. Gelmir
1037420800	Deathbird	Liurnia	Liurnia
1037460800	Bell Bearing Hunter	Liurnia	Liurnia
1037540810	Ulcerated Tree Spirit	Mt. Gelmir	Mt. Gelmir
1038410800	Adan, Thief of Fire	Liurnia	Liurnia
1038480800	Erdtree Avatar	Liurnia	Liurnia
1038520800	Tibia Mariner	Altus	Altus
1039430800	?	Liurnia	Liurnia
1039440800	Tibia Mariner	Liurnia	Liurnia
1039500800	Godefroy the Grafted	Altus	Altus
1039540800	Elemer of the Briar	Altus	Altus
1040520800	Black Knife Assassin	Altus	Altus
1040530800	Sanguine Noble	Altus	Altus
1041500800	Fallingstar Beast	Altus	Altus
1041510800	Tree Sentinel	Altus	Altus
1041530800	Wormface	Altus	Altus
1042330800	Ancient Hero of Zamor	Weeping	Weeping
1042360800	Tree Sentinel	Limgrave	Limgrave
1042380800	Deathbird	Limgrave	Limgrave
1042380850	Bell Bearing Hunter	Limgrave	Limgrave
1042550800	Godskin Apostle	Altus	Altus
1043300800	Leonine Misbegotten	Weeping	Weeping
1043330800	Erdtree Avatar	Weeping	Weeping
