# co_check_ids.tsv -- APPEND-ONLY ap_id registry for CO-CHECK sibling lots (SPEC-flag-lot-item-model §2.2).
#
# A shared getItemFlagId drives several ItemLotParam lots; each SIBLING lot (every family member
# except the primary -- the lot the original region_map.csv row was named after, the family's
# lowest) becomes its own co-firing check. Its ap_id comes from HERE, never from a positional
# index: `ap_id = BASE_AP + row index` renumbers on any insertion (gen_data.py "APPENDED, never
# inserted"), and even tail-appends shift when the appended set grows. Registry ids are allocated
# once, in the reserved COCHECK band (>= 7900000; the positional band tops out ~7775300), and are
# NEVER reused or re-derived. Delisting a co-check retires its row in place (comment it out with
# the reason) -- the id stays burned.
#
# gen_data.py reads this file and PROJECTS a co-check location for every row whose flag is in
# CO_CHECK_FLAGS (the allowlist beside ROW_ITEM_NAME_FIX's old slot); a regen that needs an id
# not present here must fail loudly, never invent one. Keys must exist in flag_lots.tsv.
#
# Seeded 2026-07-24 with the four hand-verified shared-flag families (allocation order = sorted
# (flag, table, lot) at seed time; later additions APPEND with the next free id):
#   400696 lot 106931 -> Prayer Room Key   (primary 106930 = Ash of War: Flame Skewer)
#   510440 lot  10441 -> Scadutree Fragment (primary 10440 = Aspects of the Crucible: Thorns)
#   510460 lot  10461 -> Messmer's Kindling (primary 10460 = Remembrance of the Impaler)
#   520160 lot  20161 -> Golden Seed        (primary 20160 = Redmane Knight Ogha ash)
#
# 2026-08-06: 197 lot 10181 -> Great Rune of the Unborn (primary 10180 = Remembrance of the Full
#   Moon Queen). Rennala. Added on the ruling that the game COUNTS this rune toward the Leyndell
#   wall (#427) -- relief $Event(6905) maps flag 197 to 177, inside the 170-179 possession band the
#   gate actually counts (common $Event(730) -> flag 182; corrected 2026-08-22, clients#392). Until
#   now the sibling was unmodelled,
#   so check_lots blanked only the primary and every kill handed out a real vanilla rune on top of
#   the AP item (#426).
flag	table	lot	ap_id
400696	map	106931	7900000
510440	map	10441	7900001
510460	map	10461	7900002
520160	map	20161	7900003
197	map	10181	7900004
# ---- #191 policy widening (2026-08-13): the allowlist now unions the hand-verified five
# with tools/datamine_flag_lots policy selection. APPENDED, never inserted.
400061	map	100611	7900005
400071	map	100711	7900006
400091	map	100911	7900007
400148	map	101481	7900008
400148	map	101482	7900009
400148	map	101483	7900010
400148	map	101484	7900011
400158	map	101581	7900012
400158	map	101582	7900013
400158	map	101583	7900014
400164	map	101641	7900015
400164	map	101642	7900016
400164	map	101643	7900017
400174	map	101741	7900018
400209	map	112000	7900019
400282	map	102861	7900020
400283	map	102862	7900021
400285	map	102864	7900022
400309	map	103011	7900023
400309	map	103021	7900024
400312	map	103121	7900025
400339	map	113301	7900026
400348	map	103411	7900027
400348	map	103412	7900028
400348	map	103413	7900029
400348	map	103414	7900030
400349	map	103401	7900031
400349	map	103402	7900032
400349	map	103403	7900033
400349	map	103404	7900034
400359	map	103591	7900035
400359	map	103592	7900036
400359	map	103593	7900037
400359	map	103594	7900038
400370	map	103701	7900039
400370	map	103702	7900040
400382	map	103821	7900041
400382	map	103822	7900042
400382	map	103823	7900043
400401	map	104011	7900044
400401	map	104012	7900045
400401	map	104013	7900046
400412	map	104121	7900047
400412	map	104122	7900048
400412	map	104123	7900049
400431	map	114311	7900050
400431	map	114312	7900051
400431	map	114313	7900052
400441	map	114411	7900053
400441	map	114412	7900054
400490	map	104901	7900055
400490	map	104902	7900056
400490	map	104903	7900057
400500	map	105001	7900058
400500	map	105002	7900059
400602	map	106011	7900060
400602	map	106012	7900061
400602	map	106013	7900062
400602	map	106014	7900063
400614	map	116101	7900064
400614	map	116102	7900065
400614	map	116103	7900066
400614	map	116104	7900067
400622	map	106211	7900068
400622	map	106212	7900069
400622	map	106213	7900070
400624	map	106221	7900071
400624	map	106222	7900072
