# AUTO-GENERATED by tools/datamine_item_play_regions.py --emit -- DO NOT EDIT.
# Per ITEM PLACEMENT: the play_region id(s) of the ground the pickup stands on,
#   read from MSB Region/PlayArea <PlayRegionID> by point-in-volume test -- the
#   exact id the client's kick-watch reads. buckets = ID // 100.
# One row per placement: a flag placed in two maps has two rows (442 flags are).
# source: volume:/interior-vol: = a volume CONTAINS it (the ruling); seam:/
#   interior-seam: = within 8 m of a volume face; tile-default/interior-map =
#   the PlayRegionParam default for its own tile; '-' = no answer, and absence
#   of an answer is NOT evidence about the region.
# Calibrated by --graces against greenfield/grace_ground.tsv (docs/PLAYAREA-ITEM-SCAN.md).
flag	map_id	play_region_ids	buckets	source
114	m14_00_00_00	1400000;1400001;1400002;1400003;1400010;1400011;1400012;1400013;1400014;1400015;1400016;1400090	14000	interior-map
9502	m12_03_00_00	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
60020	m11_10	1110000	11100	interior-map
60020	m60_46_38_00	-	-	none
60020	m60_46_38_10	-	-	none
60110	m11_10	1110000	11100	interior-map
60120	m11_10	1110000	11100	interior-map
60120	m60_42_36	6100001	61000	tile-default
60130	m11_10	1110000	11100	interior-map
60130	m60_42_37_00	-	-	none
60210	m10_01_00_00	1001000;1001001;1001002;1001003;1001090	10010	interior-map
60220	m18_00_00_00	1800000;1800001;1800002;1800010;1800090	18000	interior-map
60240	m60_42_40_00	6101090	61010	seam:プレイ領域 マルチプレイエリアID 6101090@1.9m
60260	m16_00_00_00	1600013	16000	interior-seam:プレイ領域（Compositeパーツ） 1600013 ②@7.0m
60280	m11_10	1110000	11100	interior-map
60290	m11_10	1110000	11100	interior-map
60400	m60_45_33_00	-	-	none
60410	m60_34_43_00	-	-	none
60420	m60_35_47_00	-	-	none
60430	m60_34_50_00	-	-	none
60460	m60_52_41_00	-	-	none
60470	m11_10	1110000	11100	interior-map
60500	m11_10	1110000	11100	interior-map
62010	m60_42_37_00	-	-	none
62011	m60_44_32_00	-	-	none
62012	m60_45_37_00	6100003	61000	tile-default
62012	m60_45_37_10	6100003	61000	tile-default
62020	m60_38_41_00	-	-	none
62021	m60_37_44_00	-	-	none
62022	m60_34_48_00	6200003	62000	tile-default
62030	m60_40_52_00	-	-	none
62031	m60_42_51_00	-	-	none
62032	m60_36_54_00	6302001	63020	tile-default
62040	m60_49_37_00	-	-	none
62041	m60_49_40_00	6402000	64020	tile-default
62050	m60_49_53_00	6501000	65010	volume:プレイ領域 6501000 構成パーツ1
62051	m60_52_54_00	6502000	65020	tile-default
62052	m60_48_56_00	6503000	65030	tile-default
62060	m12_01_00_00	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
62061	m12_01_00_00	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
