# AUTO-GENERATED by tools/datamine_grace_ground.py --emit -- DO NOT EDIT.
# Per warp grace: the play_region BUCKET(s) of the ground it stands on (kick-watch
#   id space, PlayRegionParam.ID // 100), derived from MSB Region/PlayArea volumes +
#   PlayRegionParam tile defaults. '-' = underivable (no volume, no tile row).
# Consumed by greenfield/gen_data.py: a grace force-lit by a region lock must stand
#   on ground THAT region (or an ancestor) owns, or the player warps into a kick.
# Calibrated against the in-game Charo's measurement (76841 -> 6840000, 2026-07-15).
grace_flag	ground_buckets	source	tile
71000	10000	interior-map	m10_00
71001	10000	interior-seam:プレイ領域 Compositeパーツ 1000001 ①@7.0m	m10_00
71002	10000	interior-map	m10_00
71003	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②	m10_00
71004	10000	interior-seam:プレイ領域 Compositeパーツ 1000001 ③@4.2m	m10_00
71005	10000	interior-seam:プレイ領域 Compositeパーツ 1000003 ④@7.1m	m10_00
71006	10000	interior-map	m10_00
71007	10000	interior-map	m10_00
71008	10000	interior-seam:プレイ領域 Compositeパーツ 1000006 ②@6.5m	m10_00
71100	11000	interior-map	m11_00
71101	11000	interior-vol:プレイ領域 Compositeパーツ② 1100010	m11_00
71102	11000	interior-map	m11_00
71103	11000	interior-map	m11_00
71104	11000	interior-map	m11_00
71105	11000	interior-map	m11_00
71107	11000	interior-map	m11_00
71108	11000	interior-map	m11_00
71109	11000	interior-map	m11_00
71120	11050	interior-map	m11_05
71121	11050	interior-map	m11_05
71122	11050	interior-map	m11_05
71123	11050	interior-map	m11_05
71124	11050	interior-map	m11_05
71125	11050	interior-map	m11_05
71190	11100	interior-map	m11_10
71210	12010	interior-map	m12_01
71211	12010	interior-map	m12_01
71212	12010	interior-map	m12_01
71213	12010	interior-map	m12_01
71214	12010	interior-map	m12_01
71215	12010	interior-map	m12_01
71216	12010	interior-map	m12_01
71218	12010	interior-map	m12_01
71219	12010	interior-map	m12_01
71220	12020	interior-map	m12_02
71221	12020	interior-vol:プレイ領域 中ボス部屋 1202020	m12_02
71222	12020	interior-map	m12_02
71223	12020	interior-vol:プレイ領域 ID1202034	m12_02
71224	12020	interior-seam:プレイ領域comp ID1202002@1.8m	m12_02
71225	12020	interior-map	m12_02
71226	12020	interior-map	m12_02
71227	12020	interior-map	m12_02
71230	12030	interior-map	m12_03
71231	12030	interior-map	m12_03
71232	12030	interior-map	m12_03
71233	12030	interior-map	m12_03
71234	12030	interior-map	m12_03
71235	12030	interior-vol:プレイ領域 ID1203004	m12_03
71240	12040	interior-map	m12_04
71250	12050	interior-map	m12_05
71251	12050	interior-map	m12_05
71252	12050	interior-map	m12_05
71253	12050	interior-vol:プレイ領域 ID1205006	m12_05
71260	-	none	m12_06
71261	-	none	m12_06
71270	12070	interior-vol:プレイ領域 ID1207031	m12_07
71271	12070	interior-map	m12_07
71300	13000	interior-map	m13_00
71301	13000	interior-map	m13_00
71302	13000	interior-map	m13_00
71303	13000	interior-map	m13_00
71304	13000	interior-map	m13_00
71305	13000	interior-seam:プレイ領域 1300013@3.7m	m13_00
71306	13000	interior-map	m13_00
71307	13000	interior-vol:プレイ領域 1300018 断面遺跡前半 下層 翼廊	m13_00
71308	13000	interior-seam:プレイ領域 1300002 →1300019 下層と揃える {2}@1.5m	m13_00
71309	13000	interior-map	m13_00
71310	13000	interior-seam:プレイ領域 1300006@0.7m	m13_00
71400	14000	interior-map	m14_00
71401	14000	interior-map	m14_00
71402	14000	interior-seam:プレイ領域 1400002 オープン湖 モンサン 02@3.4m	m14_00
71403	14000	interior-map	m14_00
71500	15000	interior-map	m15_00
71501	15000	interior-map	m15_00
71502	15000	interior-map	m15_00
71503	15000	interior-map	m15_00
71504	15000	interior-map	m15_00
71505	15000	interior-map	m15_00
71506	15000	interior-map	m15_00
71507	15000	interior-map	m15_00
71508	15000	interior-map	m15_00
71600	16000	interior-map	m16_00
71601	16000	interior-map	m16_00
71602	16000	interior-map	m16_00
71603	16000	interior-vol:領域 マルチプレイエリア上書き 1600014	m16_00
71604	16000	interior-map	m16_00
71605	16000	interior-vol:プレイ領域 1600006	m16_00
71606	16000	interior-map	m16_00
71607	16000	interior-map	m16_00
71800	18000	interior-map	m18_00
71801	18000	interior-map	m18_00
71900	19000	interior-map	m19_00
72000	20000	interior-map	m20_00
72001	20000	interior-map	m20_00
72002	20000	interior-map	m20_00
72003	20000	interior-map	m20_00
72010	20010	interior-map	m20_01
72012	20010	interior-map	m20_01
72013	20010	interior-map	m20_01
72014	20010	interior-map	m20_01
72015	20010	interior-map	m20_01
72016	20010	interior-map	m20_01
72101	21000	interior-map	m21_00
72102	69000	interior-seam:プレイ領域 6900000-2@3.6m	m21_00
72106	21000	interior-vol:プレイ領域 2100011-2	m21_00
72107	21000	interior-map	m21_00
72108	21000	interior-seam:プレイ領域 2100015@2.0m	m21_00
72109	21000	interior-map	m21_00
72110	21010	interior-map	m21_01
72111	21010	interior-map	m21_01
72112	21010	interior-map	m21_01
72113	21010	interior-vol:領域 プレイ領域 2101005-5	m21_01
